#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            60.000000           60.000000          100.000000          100.000000          120.000000          120.000000          140.000000          140.000000          160.000000          160.000000
   0.0000000   -1.8995056161e-04   -7.5132309798e-22   -7.2061248492e-06    1.0200546314e-22   -2.1349569219e-06   -7.7798111675e-24   -7.4376254557e-07   -4.6121646814e-23   -2.8848878855e-07    1.2223786228e-23
   0.2500000   -1.8947139711e-04    7.3532969498e-22   -7.1867952685e-06    3.1671210861e-22   -2.1290524098e-06    7.1885772801e-23   -7.4083543429e-07    5.7409346119e-23   -2.8769727229e-07    1.2655548735e-23
   0.5000000   -1.8899270711e-04    3.6228872091e-22   -7.1674988205e-06    2.7876903924e-22   -2.1231590114e-06    1.0536532202e-22   -7.3739939477e-07    1.3672583543e-23   -2.8678033904e-07    2.0918914049e-23
   0.7500000   -1.8851450521e-04   -1.3601818323e-21   -7.1482355612e-06    4.2204766236e-23   -2.1172766288e-06    4.3753823306e-23   -7.3460514805e-07   -2.0924432379e-23   -2.8585259981e-07   -1.5628095559e-23
   1.0000000   -1.8803680384e-04    1.9811074287e-21   -7.1290056274e-06    1.7638908903e-22   -2.1114053468e-06    2.3085076471e-23   -7.3207890089e-07    5.3727928416e-24   -2.8501295734e-07    2.2285254796e-23
   1.2500000   -1.8755961528e-04   -2.5847429788e-22   -7.1098090914e-06   -4.8860368990e-23   -2.1055452819e-06    9.7454483929e-23   -7.2969576734e-07    4.8117408215e-23   -2.8429313214e-07    1.0358048149e-23
   1.5000000   -1.8708295242e-04    2.8174509268e-21   -7.0906459618e-06    1.8936235890e-22   -2.0996963424e-06    2.3668396599e-24   -7.2780653175e-07    1.1290085825e-23   -2.8359513518e-07   -1.4047228295e-23
   1.7500000   -1.8660682787e-04    5.8535294082e-21   -7.0715162728e-06    3.3113108916e-22   -2.0938584818e-06    1.0393871862e-22   -7.2669857420e-07    4.5081276657e-24   -2.8277079211e-07   -7.6556737139e-24
   2.0000000   -1.8613125075e-04    1.0698647515e-21   -7.0524200972e-06    4.4943282307e-22   -2.0880317984e-06    1.2013452736e-22   -7.2586849835e-07   -2.9894184762e-23   -2.8177333658e-07   -1.9550736909e-23
   2.2500000   -1.8565619662e-04    2.2566947111e-21   -7.0333574985e-06    7.8514822808e-22   -2.0822161021e-06    1.1366361075e-22   -7.2440736362e-07   -8.6566053167e-23   -2.8073219831e-07    2.1192542773e-24
   2.5000000   -1.8518165586e-04    2.2978449881e-21   -7.0143284631e-06    2.6379088045e-22   -2.0764112552e-06    6.5214106875e-23   -7.2200661502e-07   -1.3892668257e-23   -2.7986107143e-07    1.0478457251e-23
   2.7500000   -1.8470780223e-04    9.8214010352e-22   -6.9953329855e-06    3.7177711214e-23   -2.0706180670e-06    1.3151310755e-22   -7.1913596949e-07    3.3148022601e-23   -2.7925289677e-07    1.5598199763e-23
   3.0000000   -1.8423478742e-04    1.2851573565e-21   -6.9763711010e-06    2.4193632001e-22   -2.0648374953e-06    9.1505418796e-23   -7.1631362837e-07    1.0258200599e-24   -2.7874770069e-07    1.3377054074e-23
   3.2500000   -1.8376225276e-04   -2.4188481082e-22   -6.9574428343e-06    1.3620538123e-22   -2.0590674383e-06    7.0420567817e-23   -7.1366753091e-07   -1.8143984822e-23   -2.7803804282e-07    2.9581785880e-23
   3.5000000   -1.8328971717e-04    2.6552459206e-21   -6.9385482196e-06    2.8948840099e-22   -2.0533043910e-06   -9.5375215644e-24   -7.1123773347e-07    6.0576151454e-23   -2.7695089721e-07    1.0245442994e-23
   3.7500000   -1.8281760154e-04    9.5298027974e-23   -6.9196871944e-06   -2.0770618273e-23   -2.0475508003e-06    1.4581830280e-22   -7.0923882143e-07   -1.3414852107e-22   -2.7563116229e-07    3.1061777818e-23
   4.0000000   -1.8234710480e-04   -1.8145807369e-21   -6.9008597223e-06    5.4585068457e-25   -2.0418145213e-06   -2.4625973639e-23   -7.0776927091e-07    7.8446001484e-24   -2.7442817206e-07    2.8535586189e-24
   4.2500000   -1.8187878539e-04   -4.7713292968e-21   -6.8820658207e-06   -1.3257965669e-22   -2.0360959857e-06    9.0024094459e-24   -7.0649182947e-07   -6.9962988142e-23   -2.7359753111e-07    2.0700916030e-23
   4.5000000   -1.8141153068e-04    3.5421515930e-21   -6.8633054899e-06   -4.2356103517e-23   -2.0303824284e-06    1.6321774289e-22   -7.0485150594e-07    2.9187998714e-23   -2.7310974952e-07    1.4081188692e-23
   4.7500000   -1.8094310965e-04    2.1684818360e-21   -6.8445787266e-06    5.1622092594e-22   -2.0246629983e-06    1.4970739628e-23   -7.0258022171e-07   -2.4208424548e-23   -2.7271206840e-07    4.6591675484e-26
   5.0000000   -1.8047220509e-04    7.3832258522e-22   -6.8258854686e-06    1.1501142841e-23   -2.0189462796e-06   -2.5229451416e-24   -6.9990438807e-07   -5.2285957368e-23   -2.7213839274e-07   -3.3521906346e-23
   5.2500000   -1.8000016564e-04    4.7469728808e-21   -6.8072256251e-06    2.7884691142e-22   -2.0132550870e-06    1.6034971811e-22   -6.9730216485e-07   -2.3856772828e-24   -2.7128245582e-07    2.5429181060e-23
   5.5000000   -1.7953002126e-04    3.5225075287e-22   -6.7885992555e-06    2.8068708199e-22   -2.0076057868e-06   -7.9497969844e-24   -6.9510655443e-07    5.2148771449e-23   -2.7023738817e-07    3.4103682271e-23
   5.7500000   -1.7906338134e-04   -2.3933025182e-21   -6.7700062747e-06    3.3941879034e-22   -2.0019956981e-06    1.0141140184e-22   -6.9329862929e-07    2.8129529349e-23   -2.6920482529e-07    3.5202307598e-24
   6.0000000   -1.7859927499e-04   -1.7142534880e-21   -6.7514465900e-06    3.5411514279e-22   -1.9964025618e-06    1.3948812529e-22   -6.9162206946e-07    1.9902340145e-23   -2.6834067708e-07    1.6602206458e-25
   6.2500000   -1.7813632996e-04   -4.6611868754e-21   -6.7329202055e-06    1.8431843366e-23   -1.9907898438e-06    4.6643704827e-23   -6.8987165260e-07    3.2415413805e-23   -2.6764836294e-07    2.3038198671e-24
   6.5000000   -1.7767440541e-04   -2.5229885941e-21   -6.7144270585e-06    2.6753148219e-22   -1.9851253483e-06    4.2008539062e-23   -6.8805716523e-07   -3.9713345741e-23   -2.6700398481e-07    2.2181225620e-23
   6.7500000   -1.7721309034e-04   -3.6148393963e-22   -6.6959671186e-06    1.2430524832e-22   -1.9794139732e-06    2.0028333061e-23   -6.8629307693e-07   -1.5880050776e-23   -2.6628017795e-07    8.1937109778e-24
   7.0000000   -1.7675039972e-04    2.2079588659e-21   -6.6775402744e-06    2.7510138302e-22   -1.9737134317e-06   -1.5457466147e-23   -6.8457762503e-07   -3.8515992672e-23   -2.6544473844e-07    1.2027130060e-23
   7.2500000   -1.7628488745e-04    2.2094728593e-21   -6.6591464395e-06    1.0839981403e-22   -1.9680982233e-06    9.6835794033e-23   -6.8273281673e-07    8.6941169293e-23   -2.6455661356e-07    1.4912771682e-23
   7.5000000   -1.7581818046e-04   -3.0675949411e-21   -6.6407855850e-06   -1.2423136161e-23   -1.9625931556e-06   -8.1280269441e-24   -6.8056675717e-07   -5.4142202813e-23   -2.6369657442e-07   -8.9169418524e-24
   7.7500000   -1.7535377814e-04   -4.1300990121e-21   -6.6224576528e-06    1.9466735809e-22   -1.9571450208e-06   -9.9587112997e-23   -6.7807245993e-07    4.3374318658e-24   -2.6291004175e-07    3.3043447794e-24
   8.0000000   -1.7489378804e-04    1.0035042864e-21   -6.6041624959e-06    3.5945391781e-22   -1.9516659385e-06    1.5316869628e-22   -6.7546636216e-07   -1.0914166113e-23   -2.6218989247e-07    2.8740554091e-23
   8.2500000   -1.7443765588e-04    4.1879824088e-21   -6.5859001071e-06    3.1444522640e-23   -1.9461001866e-06   -1.4068386104e-22   -6.7304773627e-07    3.2483383121e-23   -2.6148585504e-07   -1.5336272749e-23
   8.5000000   -1.7398286281e-04   -3.8002965509e-22   -6.5676704102e-06    1.6050116541e-22   -1.9404496153e-06    1.3524237494e-22   -6.7100880212e-07    3.6372470541e-23   -2.6073223233e-07    3.5606390781e-23
   8.7500000   -1.7352579554e-04   -3.5025180042e-21   -6.5494732815e-06    1.9426932834e-22   -1.9347580783e-06    4.5808125488e-24   -6.6933350448e-07   -3.0818845413e-23   -2.5988914233e-07    1.3200058946e-23
   9.0000000   -1.7306407427e-04   -3.2763829725e-21   -6.5313086109e-06    3.1703339385e-22   -1.9290940702e-06    2.5214327807e-23   -6.6783544784e-07   -2.3088123188e-23   -2.5897305107e-07   -1.8746177652e-23
   9.2500000   -1.7260015637e-04    1.9251928125e-21   -6.5131762822e-06    3.2302064407e-22   -1.9235357796e-06    1.1302592509e-22   -6.6628574182e-07   -8.5980435406e-23   -2.5804804788e-07   -1.6385214384e-24
   9.5000000   -1.7213985450e-04   -2.1147921080e-21   -6.4950762629e-06    1.0523049489e-22   -1.9181367997e-06   -8.2821713015e-23   -6.6453566338e-07   -2.0274456182e-23   -2.5718276080e-07    1.2974422116e-23
   9.7500000   -1.7168474475e-04   -3.7713160978e-21   -6.4770084709e-06    4.8069600047e-23   -1.9128874888e-06    1.4733028624e-22   -6.6256439539e-07    3.0817264720e-23   -2.5640869120e-07    2.5997962933e-23
  10.0000000   -1.7123048950e-04    6.6993764034e-21   -6.4589727513e-06    3.8514091812e-22   -1.9077135064e-06    1.6011635206e-22   -6.6044525089e-07   -4.8366093834e-23   -2.5570834972e-07   -8.9640105458e-24
  10.2500000   -1.7077508576e-04    9.9125320713e-22   -6.4409690159e-06    4.0350941387e-22   -1.9025118160e-06    3.4481684820e-23   -6.5827272337e-07   -3.1177085024e-23   -2.5503243055e-07   -1.1864546912e-23
  10.5000000   -1.7032181428e-04   -2.8186767056e-21   -6.4229971566e-06    1.7634114110e-22   -1.8971841018e-06    1.2554849875e-22   -6.5610753599e-07   -4.8783763075e-23   -2.5432919165e-07    2.0519916120e-23
  10.7500000   -1.6987163509e-04   -1.4434167375e-21   -6.4050570405e-06   -2.2671217626e-23   -1.8916540284e-06    1.1631497021e-22   -6.5397337442e-07    3.3624721815e-23   -2.5356971164e-07    2.5564563806e-23
  11.0000000   -1.6942071898e-04    1.2396607788e-21   -6.3871485886e-06   -1.1702028902e-23   -1.8858964460e-06    5.6963846178e-23   -6.5189038257e-07   -4.9489372857e-23   -2.5275799476e-07    2.1311598519e-23
  11.2500000   -1.6896705474e-04   -1.0998741894e-22   -6.3692716368e-06    1.1067434829e-22   -1.8799861978e-06    9.3503965351e-23   -6.4989528864e-07   -3.4345193540e-23   -2.5192229999e-07    4.0635382137e-24
  11.5000000   -1.6851247069e-04    1.5534515326e-21   -6.3514260973e-06    1.3773145483e-22   -1.8741135105e-06    2.3971874005e-23   -6.4801980009e-07   -7.6702182646e-23   -2.5109614183e-07    3.2802277346e-24
  11.7500000   -1.6805863726e-04   -2.1244071952e-22   -6.3336118692e-06   -5.7723349480e-23   -1.8685037015e-06    7.0333993024e-23   -6.4625385380e-07   -3.4211212349e-23   -2.5030285595e-07    1.6546888646e-23
  12.0000000   -1.6760608782e-04    2.9686786115e-21   -6.3158287881e-06    9.2149386722e-23   -1.8632669175e-06   -2.8216567602e-23   -6.4453966958e-07   -3.8036678660e-23   -2.4954952924e-07   -2.5492061252e-24
  12.2500000   -1.6715504993e-04    7.9431657448e-22   -6.2980767424e-06    4.4908186211e-22   -1.8583008711e-06    7.2492259667e-23   -6.4280286407e-07   -1.1316187584e-24   -2.4882653861e-07   -1.2872446086e-23
  12.5000000   -1.6670514701e-04    4.1730839093e-21   -6.2803556179e-06    1.4347858421e-22   -1.8533498860e-06    6.5768320650e-23   -6.4098723392e-07   -1.8699858246e-23   -2.4811111103e-07    9.0007619806e-24
  12.7500000   -1.6625646699e-04    3.5877949221e-21   -6.2626652149e-06    2.3883046954e-22   -1.8481838368e-06    6.7973034647e-24   -6.3906897104e-07   -1.2840531814e-23   -2.4737840091e-07    3.0368630973e-24
  13.0000000   -1.6580884006e-04   -1.2722935757e-21   -6.2450054436e-06    2.9858743832e-22   -1.8427478194e-06    4.9688396636e-23   -6.3705774191e-07    1.8331077511e-24   -2.4661787167e-07   -8.7774060157e-24
  13.2500000   -1.6535892629e-04   -4.8572181002e-21   -6.2273761562e-06    2.5797205740e-22   -1.8371710723e-06   -2.5344474394e-23   -6.3499659069e-07   -5.4254486090e-23   -2.4584152687e-07    2.2633030472e-23
  13.5000000   -1.6490470227e-04    1.4687592871e-21   -6.2097772326e-06    1.6279038092e-22   -1.8316539445e-06    2.2394454995e-22   -6.3295221517e-07    1.8566968012e-23   -2.4507340007e-07    7.6781404350e-24
  13.7500000   -1.6445246154e-04   -1.0229354429e-21   -6.1922085119e-06    4.4272457094e-22   -1.8263346580e-06    4.3608359552e-23   -6.3098615995e-07   -2.1761505262e-24   -2.4432860811e-07    3.6884589484e-23
  14.0000000   -1.6400867240e-04    1.9655226128e-21   -6.1746697944e-06    1.3819741922e-22   -1.8212186304e-06   -3.3347460534e-24   -6.2912086075e-07   -1.0018897308e-23   -2.4360148720e-07    9.9633063958e-24
  14.2500000   -1.6356644450e-04    3.8544883252e-22   -6.1571609725e-06    4.9053776662e-23   -1.8161933298e-06    2.8179182676e-23   -6.2732935320e-07    4.2501670525e-24   -2.4287213344e-07   -1.7197311832e-23
  14.5000000   -1.6311366346e-04   -4.4589188927e-21   -6.1396819747e-06    4.9283783262e-23   -1.8111052868e-06    5.6301760508e-23   -6.2555727206e-07   -8.7266811925e-23   -2.4212240656e-07    5.8064022795e-24
  14.7500000   -1.6265301470e-04    1.6089830449e-21   -6.1222324837e-06   -1.4565567189e-22   -1.8058501521e-06    2.5697964801e-23   -6.2375625098e-07    7.0146070325e-23   -2.4134666659e-07   -1.0089763953e-23
  15.0000000   -1.6219918478e-04    1.0662152950e-21   -6.1048123899e-06    1.1604715165e-22   -1.8004229275e-06    6.2457730198e-23   -6.2190400890e-07   -5.3717303332e-24   -2.4055235094e-07    2.6758182944e-23
  15.2500000   -1.6175723123e-04    1.4071524196e-21   -6.0874215956e-06    1.3808142934e-22   -1.7949040428e-06    2.7715626981e-23   -6.2000514931e-07   -2.4731785326e-23   -2.3975482026e-07    1.5537730486e-24
  15.5000000   -1.6131896867e-04    1.4272197915e-21   -6.0700598951e-06    1.7964894013e-22   -1.7894041655e-06    1.7463576199e-22   -6.1808209889e-07   -1.5944930862e-23   -2.3897096861e-07   -5.9129747530e-24
  15.7500000   -1.6088044442e-04    1.1974607376e-21   -6.0527271070e-06    1.1375752811e-22   -1.7840114171e-06    3.6079328043e-23   -6.1616396280e-07   -1.4192402733e-23   -2.3821269793e-07   -1.4823243304e-24
  16.0000000   -1.6044570207e-04    8.2998776888e-22   -6.0354230231e-06    2.8778063929e-22   -1.7787649211e-06    9.8792488900e-23   -6.1427448462e-07   -5.0874039342e-23   -2.3748158479e-07   -4.6941999043e-24
  16.2500000   -1.6000964478e-04    3.7619708327e-21   -6.0181475431e-06    8.9092035388e-23   -1.7736487337e-06    1.7106450454e-22   -6.1242184207e-07   -3.5544922630e-23   -2.3676838363e-07    3.1665752904e-23
  16.5000000   -1.5955585348e-04    4.4791447142e-21   -6.0009004569e-06    3.1272639853e-22   -1.7685997006e-06    4.1915985774e-23   -6.1059546426e-07   -2.3760140083e-23   -2.3605880155e-07   -9.0094694249e-24
  16.7500000   -1.5908275149e-04   -1.6455136334e-22   -5.9836815475e-06   -1.8078160115e-23   -1.7635349974e-06    1.1781434661e-22   -6.0877230810e-07   -4.0985246005e-24   -2.3534179163e-07   -3.0472481843e-24
  17.0000000   -1.5861651453e-04    3.7404080678e-21   -5.9664906603e-06    3.4504698908e-22   -1.7583964256e-06    7.5964749682e-23   -6.0692910872e-07   -5.0379304694e-23   -2.3461470704e-07    7.7854586608e-24
  17.2500000   -1.5818051074e-04    5.3299253262e-21   -5.9493276207e-06   -2.7671360839e-23   -1.7531842733e-06    5.4616823059e-23   -6.0505648760e-07   -5.5715833017e-23   -2.3388276334e-07    2.1654800889e-23
