#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            60.000000           60.000000          100.000000          100.000000          120.000000          120.000000          140.000000          140.000000          160.000000          160.000000
   0.0000000   -2.1037486942e-04   -1.0394164495e-04   -2.1452685551e-05   -1.2204952583e-05   -8.9965297186e-06   -5.5316541811e-06   -4.1704281819e-06   -2.7880124185e-06   -2.0682419309e-06   -1.5164454475e-06
   0.2500000   -2.1005185680e-04   -1.0386438352e-04   -2.1414962193e-05   -1.2194814559e-05   -8.9794926358e-06   -5.5267797271e-06   -4.1614679935e-06   -2.7854796682e-06   -2.0635693620e-06   -1.5149201785e-06
   0.5000000   -2.0972871187e-04   -1.0378695779e-04   -2.1377248970e-05   -1.2184668205e-05   -8.9624631062e-06   -5.5219026743e-06   -4.1520205673e-06   -2.7831217338e-06   -2.0589531474e-06   -1.5133739791e-06
   0.7500000   -2.0940543631e-04   -1.0370936802e-04   -2.1339546194e-05   -1.2174513651e-05   -8.9454412301e-06   -5.5170230559e-06   -4.1429198624e-06   -2.7805588159e-06   -2.0543469542e-06   -1.5118274938e-06
   1.0000000   -2.0908203172e-04   -1.0363161447e-04   -2.1301854166e-05   -1.2164350949e-05   -8.9284271657e-06   -5.5121408885e-06   -4.1343259569e-06   -2.7778584715e-06   -2.0497463070e-06   -1.5102928948e-06
   1.2500000   -2.0875849891e-04   -1.0355369711e-04   -2.1264173147e-05   -1.2154180187e-05   -8.9114210442e-06   -5.5072562486e-06   -4.1261694009e-06   -2.7751610348e-06   -2.0451335445e-06   -1.5087703855e-06
   1.5000000   -2.0843483766e-04   -1.0347561499e-04   -2.1226503359e-05   -1.2144001445e-05   -8.8944228652e-06   -5.5023691778e-06   -4.1180135366e-06   -2.7725510630e-06   -2.0404914409e-06   -1.5072420083e-06
   1.7500000   -2.0811104846e-04   -1.0339736774e-04   -2.1188845068e-05   -1.2133814789e-05   -8.8774327649e-06   -5.4974796465e-06   -4.1094801922e-06   -2.7699851651e-06   -2.0358385667e-06   -1.5056916048e-06
   2.0000000   -2.0778713391e-04   -1.0331895641e-04   -2.1151198525e-05   -1.2123620256e-05   -8.8604508850e-06   -5.4925876971e-06   -4.1006291432e-06   -2.7673715477e-06   -2.0312186368e-06   -1.5041273553e-06
   2.2500000   -2.0746310361e-04   -1.0324039029e-04   -2.1113563921e-05   -1.2113417912e-05   -8.8434772678e-06   -5.4876933993e-06   -4.0918562492e-06   -2.7646831741e-06   -2.0266370580e-06   -1.5025731384e-06
   2.5000000   -2.0713895516e-04   -1.0316166958e-04   -2.1075941411e-05   -1.2103207818e-05   -8.8265119842e-06   -5.4827967623e-06   -4.0834386956e-06   -2.7619832592e-06   -2.0220318498e-06   -1.5010378529e-06
   2.7500000   -2.0681462982e-04   -1.0308274161e-04   -2.1038331191e-05   -1.2092989998e-05   -8.8095550888e-06   -5.4778977298e-06   -4.0752605001e-06   -2.7593452623e-06   -2.0173408752e-06   -1.4995054887e-06
   3.0000000   -2.0649009432e-04   -1.0300357924e-04   -2.1000733423e-05   -1.2082764465e-05   -8.7926066345e-06   -5.4729962950e-06   -4.0669893691e-06   -2.7567680294e-06   -2.0125963204e-06   -1.4979591838e-06
   3.2500000   -2.0616548712e-04   -1.0292430285e-04   -2.0963148249e-05   -1.2072531265e-05   -8.7756667755e-06   -5.4680926178e-06   -4.0584381854e-06   -2.7541848748e-06   -2.0079211830e-06   -1.4964038152e-06
   3.5000000   -2.0584096211e-04   -1.0284501345e-04   -2.0925575792e-05   -1.2062290439e-05   -8.7587356251e-06   -5.4631868529e-06   -4.0496980232e-06   -2.7515437262e-06   -2.0034114024e-06   -1.4948571634e-06
   3.7500000   -2.0551634704e-04   -1.0276552470e-04   -2.0888016177e-05   -1.2052041975e-05   -8.7418132079e-06   -5.4582787822e-06   -4.0409817948e-06   -2.7488584110e-06   -1.9990278912e-06   -1.4933260108e-06
   4.0000000   -2.0519120403e-04   -1.0268550000e-04   -2.0850469499e-05   -1.2041785870e-05   -8.7248994634e-06   -5.4533682283e-06   -4.0324279313e-06   -2.7461827223e-06   -1.9946208195e-06   -1.4917995668e-06
   4.2500000   -2.0486533887e-04   -1.0260489059e-04   -2.0812935878e-05   -1.2031522144e-05   -8.7079941165e-06   -5.4484554330e-06   -4.0240409466e-06   -2.7435501587e-06   -1.9900635840e-06   -1.4902636266e-06
   4.5000000   -2.0453918198e-04   -1.0252413632e-04   -2.0775415353e-05   -1.2021250806e-05   -8.6910968174e-06   -5.4435407327e-06   -4.0157381901e-06   -2.7409466542e-06   -1.9853579568e-06   -1.4887146029e-06
   4.7500000   -2.0421359773e-04   -1.0244386106e-04   -2.0737908010e-05   -1.2010971860e-05   -8.6742071776e-06   -5.4386239875e-06   -4.0074195664e-06   -2.7383356243e-06   -1.9806152737e-06   -1.4871603541e-06
   5.0000000   -2.0388914196e-04   -1.0236426595e-04   -2.0700413894e-05   -1.2000685272e-05   -8.6573258380e-06   -5.4337046099e-06   -3.9990250534e-06   -2.7356969353e-06   -1.9759530734e-06   -1.4856116102e-06
   5.2500000   -2.0356534062e-04   -1.0228481384e-04   -2.0662933087e-05   -1.1990391030e-05   -8.6404555828e-06   -5.4287824021e-06   -3.9905557842e-06   -2.7330379980e-06   -1.9714108911e-06   -1.4840727824e-06
   5.5000000   -2.0324092322e-04   -1.0220467875e-04   -2.0625465601e-05   -1.1980089124e-05   -8.6235996179e-06   -5.4238581633e-06   -3.9820430641e-06   -2.7303783669e-06   -1.9669412650e-06   -1.4825387395e-06
   5.7500000   -2.0291505786e-04   -1.0212353935e-04   -2.0588011446e-05   -1.1969779536e-05   -8.6067570350e-06   -5.4189330617e-06   -3.9735093728e-06   -2.7277331284e-06   -1.9624606722e-06   -1.4810003040e-06
   6.0000000   -2.0258806332e-04   -1.0204172726e-04   -2.0550570659e-05   -1.1959462213e-05   -8.5899212820e-06   -5.4140072465e-06   -3.9649764896e-06   -2.7251043238e-06   -1.9579136105e-06   -1.4794535948e-06
   6.2500000   -2.0226062874e-04   -1.0195961351e-04   -2.0513143206e-05   -1.1949137133e-05   -8.5730846891e-06   -5.4090794487e-06   -3.9564900049e-06   -2.7224791285e-06   -1.9533057284e-06   -1.4779031570e-06
   6.5000000   -2.0193298028e-04   -1.0187724552e-04   -2.0475729134e-05   -1.1938804283e-05   -8.5562462315e-06   -5.4041481338e-06   -3.9480919354e-06   -2.7198393741e-06   -1.9486862172e-06   -1.4763552538e-06
   6.7500000   -2.0160538011e-04   -1.0179473248e-04   -2.0438328423e-05   -1.1928463601e-05   -8.5394149912e-06   -5.3992122818e-06   -3.9397648955e-06   -2.7171787154e-06   -1.9441003769e-06   -1.4748099135e-06
   7.0000000   -2.0127862966e-04   -1.0171253072e-04   -2.0400941027e-05   -1.1918115041e-05   -8.5226043055e-06   -5.3942705847e-06   -3.9314349743e-06   -2.7145094461e-06   -1.9395574142e-06   -1.4732614324e-06
   7.2500000   -2.0095311717e-04   -1.0163096347e-04   -2.0363566889e-05   -1.1907758570e-05   -8.5058197066e-06   -5.3893213593e-06   -3.9230424029e-06   -2.7118501382e-06   -1.9350370465e-06   -1.4717061147e-06
   7.5000000   -2.0062785823e-04   -1.0154969933e-04   -2.0326206016e-05   -1.1897394122e-05   -8.4890520321e-06   -5.3843654307e-06   -3.9145931680e-06   -2.7092075992e-06   -1.9305165327e-06   -1.4701476049e-06
   7.7500000   -2.0030131483e-04   -1.0146802072e-04   -2.0288858330e-05   -1.1887021638e-05   -8.4722843435e-06   -5.3794089220e-06   -3.9061366074e-06   -2.7065715465e-06   -1.9259865884e-06   -1.4685941063e-06
   8.0000000   -1.9997289814e-04   -1.0138545235e-04   -2.0251523780e-05   -1.1876641064e-05   -8.4555075114e-06   -5.3744608856e-06   -3.8977126988e-06   -2.7039251971e-06   -1.9214488977e-06   -1.4670510579e-06
   8.2500000   -1.9964326385e-04   -1.0130199053e-04   -2.0214202318e-05   -1.1866252341e-05   -8.4387293184e-06   -5.3695258651e-06   -3.8893317606e-06   -2.7012603131e-06   -1.9169093565e-06   -1.4655164108e-06
   8.5000000   -1.9931365300e-04   -1.0121806969e-04   -2.0176893845e-05   -1.1855855423e-05   -8.4219672743e-06   -5.3645984827e-06   -3.8809853104e-06   -2.6985839585e-06   -1.9123759780e-06   -1.4639820936e-06
   8.7500000   -1.9898529610e-04   -1.0113453833e-04   -2.0139598266e-05   -1.1845450202e-05   -8.4052309728e-06   -5.3596662854e-06   -3.8726550377e-06   -2.6959130613e-06   -1.9078569958e-06   -1.4624398764e-06
   9.0000000   -1.9865856426e-04   -1.0105207089e-04   -2.0102315512e-05   -1.1835036594e-05   -8.3885110184e-06   -5.3547181533e-06   -3.8643171412e-06   -2.6932614621e-06   -1.9033552296e-06   -1.4608868978e-06
   9.2500000   -1.9833199666e-04   -1.0097005086e-04   -2.0065045498e-05   -1.1824614558e-05   -8.3717866434e-06   -5.3497509655e-06   -3.8559569123e-06   -2.6906291568e-06   -1.8988643311e-06   -1.4593268712e-06
   9.5000000   -1.9800335727e-04   -1.0088686531e-04   -2.0027788114e-05   -1.1814184013e-05   -8.3550467554e-06   -5.3447707693e-06   -3.8475814287e-06   -2.6880024010e-06   -1.8943720347e-06   -1.4577665920e-06
   9.7500000   -1.9767263595e-04   -1.0080203842e-04   -1.9990543194e-05   -1.1803744868e-05   -8.3383043686e-06   -5.3397893496e-06   -3.8392096365e-06   -2.6853648487e-06   -1.8898674691e-06   -1.4562112232e-06
