#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            60.000000           60.000000          100.000000          100.000000          120.000000          120.000000          140.000000          140.000000          160.000000          160.000000
   0.0000000    1.2989322215e-04   -4.2300589613e-20    1.7565145720e-06    5.8709259263e-22    3.5788653266e-07   -1.9134406533e-22    9.0067353044e-08   -1.7851972820e-22    2.6468934009e-08    3.4054570561e-23
   0.2500000    1.2941461453e-04   -3.8936329767e-20    1.7497396121e-06    3.0613731158e-22    3.5647506791e-07   -2.6519918806e-22    8.9926718856e-08   -1.3245690722e-22    2.6350236142e-08    6.3846590006e-24
   0.5000000    1.2893711271e-04   -3.8394227104e-20    1.7429852139e-06    6.4372350760e-22    3.5506818651e-07   -3.4407934214e-22    8.9413077163e-08   -1.8441382762e-22    2.6228018725e-08   -1.4187575436e-23
   0.7500000    1.2846072504e-04   -4.1596262390e-20    1.7362513021e-06    2.4274743640e-22    3.5366582388e-07   -2.5802365877e-22    8.8866086556e-08   -1.2346106141e-22    2.6106249309e-08    3.1690597403e-23
   1.0000000    1.2798545889e-04   -3.9750783249e-20    1.7295378885e-06    1.9827640630e-22    3.5226791334e-07   -2.1305203647e-22    8.8341465229e-08   -1.1660782283e-22    2.6037404341e-08   -1.3501994300e-23
   1.2500000    1.2751132134e-04   -4.2044271148e-20    1.7228449456e-06    3.8888001897e-22    3.5087456095e-07   -2.9951814207e-22    8.7933204421e-08   -1.7120256156e-22    2.6028364069e-08    2.6930775839e-23
   1.5000000    1.2703831912e-04   -4.5528821943e-20    1.7161724611e-06    6.2905183915e-22    3.4948574812e-07   -2.9974994516e-22    8.7921438415e-08   -1.4781313444e-22    2.6003227725e-08   -9.2969754488e-24
   1.7500000    1.2656646150e-04   -4.3943773952e-20    1.7095203971e-06    3.5808421032e-22    3.4810143064e-07   -2.8813150498e-22    8.8353585136e-08   -1.5547254889e-22    2.5882568881e-08    3.2737509442e-23
   2.0000000    1.2609575875e-04   -4.1023808597e-20    1.7028886927e-06    3.1970064523e-22    3.4672160011e-07   -3.3146078198e-22    8.8672759581e-08   -1.2548874947e-22    2.5676590841e-08    3.3706736558e-23
   2.2500000    1.2562617863e-04   -4.0072187520e-20    1.6962773019e-06    7.0925577757e-22    3.4534599603e-07   -2.6756500082e-22    8.8099446974e-08   -1.6370403685e-22    2.5464983407e-08    2.8919643546e-23
