#       time             L^2_Ham             L^2_Mom
  78.0000000    4.2335001459e+02                -nan
  78.5000000    4.2804478315e+02    3.5679630207e+02
  79.0000000    3.9222536499e+02    3.6185665525e+02
  79.5000000    3.7216631759e+02    5.2292985573e+02
  80.0000000    4.4476642080e+02    4.1080840023e+26
  80.5000000    3.8075715693e+02    4.1080840023e+26
  81.0000000    4.4972515638e+02    4.1080840023e+26
  81.5000000    3.7734582267e+02                -nan
  82.0000000    4.5834130546e+02                -nan
  82.5000000    3.9366168630e+02                -nan
  83.0000000    4.0579074857e+02                -nan
  83.5000000    3.1334726319e+02                -nan
  84.0000000    3.0092702610e+02                -nan
  84.5000000    3.0656992946e+02                -nan
  85.0000000    3.2155884663e+02                -nan
  85.5000000    3.0799541728e+02                -nan
  86.0000000    3.1535022070e+02                -nan
  86.5000000    3.6840179906e+02                -nan
  87.0000000    3.1519960496e+02                -nan
  87.5000000    3.8641089184e+02                -nan
  88.0000000    3.6724759076e+02                -nan
  88.5000000    3.5269644175e+02                -nan
  89.0000000    2.9389590792e+02    5.6018734668e+02
  89.5000000    2.6507503518e+02    5.6649847808e+02
  90.0000000    2.7616256044e+02    5.5154356407e+02
  90.5000000    2.6439736722e+02    5.5636372636e+02
  91.0000000    2.8209650579e+02    6.5795068422e+02
  91.5000000    3.4258272357e+02    6.1281848149e+02
  92.0000000    3.1561187136e+02    5.8506562819e+02
  92.5000000    2.9726650294e+02    5.9655064769e+02
  93.0000000    2.6724973798e+02    5.9575515561e+02
  93.5000000    3.2791814295e+02    5.9567066666e+02
  94.0000000    4.1433280286e+02    5.8006406462e+02
  94.5000000    2.9634366332e+02    5.6238754873e+02
  95.0000000                -nan                -nan
  95.5000000                -nan                -nan
  96.0000000    3.2756525320e+02    5.0724450191e+02
  96.5000000    3.0369196105e+02                -nan
  97.0000000                -nan                -nan
  97.5000000    3.1840774420e+02                -nan
  98.0000000    3.3088076035e+02    6.1735927710e+02
  98.5000000                -nan                -nan
  99.0000000                -nan                -nan
  99.5000000                -nan                -nan
 100.0000000                -nan                -nan
 100.5000000    2.9562337384e+02    2.4720391221e+02
 101.0000000    3.0942908681e+02    2.3826533110e+02
 101.5000000    3.1951939162e+02    5.2105722556e+02
 102.0000000    1.7317774021e+02    2.7048155939e+02
 102.5000000    3.9002223441e+02    3.1446814619e+02
 103.0000000    2.8604839806e+02   1.7333631188e+150
 103.5000000    2.8844512190e+02    3.4812914614e+02
 104.0000000    2.8926709620e+02    3.5284358909e+02
 104.5000000    3.0778378380e+02    3.6492402617e+02
 105.0000000    3.0923587542e+02    3.7353966630e+02
 105.5000000    3.0554845659e+02    3.6835356460e+02
 106.0000000    3.0236494958e+02    4.3258064590e+02
 106.5000000                -nan    4.1545666845e+02
 107.0000000                -nan    1.8423964574e+54
 107.5000000                -nan    1.8423964574e+54
 108.0000000                 inf    5.3037439817e+02
 108.5000000    2.4876706062e+02                 inf
 109.0000000    4.1268843458e+02                 inf
 109.5000000    4.6991624078e+02                 inf
 110.0000000    3.9333447830e+02                 inf
 110.5000000                -nan                -nan
 111.0000000    4.9941034373e+02                -nan
 111.5000000    3.2348321935e+02                 inf
 112.0000000    3.2318638476e+02                 inf
 112.5000000    3.2289268339e+02                 inf
 113.0000000                -nan                 inf
 113.5000000                -nan                 inf
 114.0000000                -nan                -nan
 114.5000000                -nan                -nan
 115.0000000                -nan                -nan
 115.5000000                -nan                -nan
 116.0000000    3.5930212154e+02                 inf
 116.5000000    4.4441583361e+02                 inf
 117.0000000    5.4533139157e+02                 inf
 117.5000000    4.5208840779e+02                 inf
 118.0000000    4.2680501108e+02    1.0890530866e+03
 118.5000000    1.7724033239e+03    5.3341469894e+02
 119.0000000    2.4365611597e+54    5.2169640503e+02
 119.5000000    2.4365611597e+54    5.4551600601e+02
 120.0000000    2.4365611597e+54    5.3304857043e+02
 120.5000000    2.4365611597e+54    5.8030088421e+02
 121.0000000    5.6453957474e+02    5.8006511540e+02
 121.5000000    5.3766014253e+02    6.0763554136e+02
 122.0000000                -nan                -nan
 122.5000000                -nan                -nan
 123.0000000                -nan                -nan
 123.5000000                -nan                -nan
 124.0000000                -nan                -nan
 124.5000000                -nan                -nan
 125.0000000                -nan                -nan
 125.5000000    1.5262515650e+02    1.3959268130e+02
 126.0000000    1.8409174710e+02    2.1034114829e+02
 126.5000000    3.6492678540e+02    3.9135844846e+02
 127.0000000    3.5151654826e+02    3.7518703965e+02
 127.5000000    6.1394893444e+02    4.4720596065e+02
 128.0000000    6.2410503605e+02    4.5460363038e+02
 128.5000000    6.1024518442e+02    4.2461467643e+02
 129.0000000    6.4223112649e+02    4.8069383965e+02
 129.5000000    6.6033052819e+02    5.0846560977e+02
 130.0000000    6.4588605163e+02    4.4894373292e+02
 130.5000000    6.4958881384e+02    4.5650408629e+02
 131.0000000    5.8633969368e+02    4.5603866132e+02
 131.5000000    6.4146936311e+02    2.3896126799e+03
 132.0000000    6.4037977514e+02    4.9685827688e+02
 132.5000000    6.3150540347e+02    5.2590851429e+02
 133.0000000    6.0718204320e+02    5.2453188177e+02
 133.5000000    6.2064194633e+02    4.8803393135e+02
 134.0000000    6.0161449730e+02    4.5953302567e+02
 134.5000000    6.5073053689e+02    4.7200261881e+02
 135.0000000    6.5138832941e+02    4.8073766503e+02
 135.5000000    6.1390863856e+02    4.8239988049e+02
 136.0000000    6.4126264142e+02    6.4750785477e+02
 136.5000000    6.4073214069e+02    6.7169169642e+02
 137.0000000    6.7513629859e+02    5.6832420460e+02
 137.5000000    6.8054875950e+02    6.0524599777e+02
 138.0000000    6.8345256231e+02    5.7563407063e+02
 138.5000000    6.7655911359e+02    5.7231651817e+02
 139.0000000    7.0249822890e+02    6.2464872373e+02
 139.5000000    6.7755393788e+02    7.5380782011e+02
 140.0000000    6.9878740784e+02    6.0814979868e+02
 140.5000000    7.1831878498e+02    6.3927571783e+02
 141.0000000    7.3958101232e+02    6.4406409135e+02
 141.5000000    7.2715047295e+02    6.5526186830e+02
 142.0000000    7.4217670165e+02    6.5739792924e+02
 142.5000000    7.2137384630e+02    6.3028781585e+02
 143.0000000    7.2053988891e+02    5.8379402324e+02
 143.5000000    6.9334265419e+02    5.8325525689e+02
 144.0000000    6.9003545170e+02    5.8938265844e+02
 144.5000000    6.8718662977e+02    5.9607352632e+02
 145.0000000                -nan    5.8063232301e+02
 145.5000000                -nan    6.2789465729e+02
 146.0000000                -nan    6.2550715161e+02
 146.5000000                -nan    6.2173563524e+02
 147.0000000    6.9081846302e+02    6.0501502853e+02
 147.5000000    6.9513844297e+02    5.7236510536e+02
 148.0000000    7.6260076682e+02    7.0487169365e+02
 148.5000000    7.6652611296e+02    7.1342855073e+02
 149.0000000    7.3983726007e+02    1.2321101450e+03
 149.5000000    7.9319368512e+02    1.2450039021e+03
 150.0000000    7.9323928499e+02    1.2344295564e+03
 150.5000000    7.7091106138e+01    1.2761753860e+02
 151.0000000    1.0207970063e+02    1.5925645510e+02
 151.5000000    1.0221032050e+02    1.3950728878e+02
 152.0000000    2.6268818928e+02    1.9989451271e+02
 152.5000000    1.0719491659e+02    2.2545085754e+02
 153.0000000    9.7798692574e+01    2.2870088598e+02
 153.5000000    1.5328799961e+02    2.3556276262e+02
 154.0000000    1.8812105605e+02    2.0186212342e+02
 154.5000000    2.6919533376e+02    2.2337055659e+02
 155.0000000    3.6950169837e+02    9.2429286249e+02
 155.5000000    4.1586139947e+02    9.5283064488e+02
 156.0000000    2.8837211363e+02    9.3667140258e+02
 156.5000000    2.9623432856e+02    9.6784770717e+02
 157.0000000    3.7703348131e+02    9.4479126230e+02
 157.5000000    3.7270870838e+02    9.6350422898e+02
 158.0000000    3.8231591282e+02    9.6230254327e+02
 158.5000000    3.4625921418e+02    1.0409031012e+03
 159.0000000    3.5555767529e+02    1.0605793191e+03
 159.5000000    3.0096692245e+02    1.0318621426e+03
 160.0000000    4.0391024500e+02    1.0213944257e+03
 160.5000000                -nan                -nan
 161.0000000                -nan                -nan
 161.5000000    3.1271850880e+02    5.8576271556e+02
 162.0000000    3.0671559351e+02    7.3323572818e+02
 162.5000000    3.5248424269e+02    6.0930709595e+02
 163.0000000    3.2149562829e+02    2.0348095916e+03
 163.5000000    3.3240030021e+02                -nan
 164.0000000    3.3366276207e+02                -nan
 164.5000000    3.7092956314e+02                -nan
 165.0000000    4.9339244932e+02                -nan
 165.5000000    1.0706660352e+03                -nan
 166.0000000    1.0681796019e+03                -nan
 166.5000000    1.4009948988e+03                -nan
 167.0000000    1.4266773025e+03                -nan
 167.5000000    1.4189963626e+03    2.5845536982e+03
 168.0000000    1.4176279451e+03    2.5781008875e+03
 168.5000000    1.4268148444e+03    2.6060880078e+03
 169.0000000    1.4144010393e+03    1.1858558507e+03
 169.5000000                -nan                -nan
 170.0000000                -nan                -nan
 170.5000000                -nan                -nan
 171.0000000                -nan                -nan
 171.5000000                -nan                -nan
 172.0000000                -nan                -nan
 172.5000000                -nan                -nan
 173.0000000    9.7998549740e+02    1.6181342430e+03
 173.5000000    9.8077468770e+02    1.6231856278e+03
 174.0000000    9.9399740112e+02    1.6282197392e+03
 174.5000000    1.0008256297e+03    1.6280706402e+03
 175.0000000    1.0074724677e+03    1.6344203879e+03
 175.5000000                -nan                -nan
 176.0000000                -nan                -nan
 176.5000000                -nan                -nan
 177.0000000                -nan                -nan
 177.5000000                -nan                -nan
 178.0000000                -nan                -nan
 178.5000000                -nan                -nan
 179.0000000                -nan                -nan
 179.5000000                -nan                -nan
 180.0000000                -nan                -nan
 180.5000000                -nan                -nan
 181.0000000                -nan                -nan
 181.5000000                -nan                -nan
 182.0000000                -nan                -nan
 182.5000000                -nan                -nan
 183.0000000                -nan                -nan
 183.5000000    3.3194865010e+02                -nan
 184.0000000    3.8693948733e+02                -nan
 184.5000000    3.5495156090e+02                -nan
 185.0000000    3.8818759992e+02                -nan
 185.5000000    2.5714127474e+02    9.3310221887e+02
 186.0000000    1.9146552240e+03    1.1773630149e+03
 186.5000000    1.9137365631e+03    1.1503172186e+03
 187.0000000    2.7199715311e+02    9.7015408108e+02
 187.5000000                -nan                -nan
 188.0000000                -nan                -nan
 188.5000000                -nan                -nan
 189.0000000                -nan                -nan
 189.5000000    3.3372357130e+02    5.7612032007e+02
 190.0000000    3.3996658351e+02    5.6364089737e+02
 190.5000000    2.4806301796e+02    1.2284552089e+03
 191.0000000    2.9875965870e+02    1.2329677057e+03
 191.5000000    2.8091995985e+02    1.1600884471e+03
 192.0000000    2.9191848536e+02                -nan
 192.5000000    2.8932247287e+02                -nan
 193.0000000    3.1225445183e+02    1.1481948214e+03
 193.5000000    3.4902974264e+02    1.1481486448e+03
 194.0000000    3.5217318670e+02    1.3297240999e+03
 194.5000000    4.4995704999e+02    1.3352900655e+03
 195.0000000    5.8443053619e+02    1.5338933115e+03
 195.5000000    6.7670975511e+02    1.5213040553e+03
 196.0000000    6.6609948270e+02    1.2170057395e+03
 196.5000000    6.7614749384e+02                -nan
 197.0000000    6.6611106838e+02                -nan
 197.5000000    6.4877521420e+02                -nan
 198.0000000    6.5172716927e+02                -nan
 198.5000000    6.4404291825e+02                -nan
 199.0000000    6.5816003486e+02                -nan
 199.5000000    6.4502810424e+02                -nan
 200.0000000    6.8361478875e+02                -nan
 200.5000000    9.6539748474e+01    7.8778715284e+01
 201.0000000    8.3526893383e+01    1.6383889129e+02
 201.5000000    8.9399234065e+01    1.9164055678e+02
 202.0000000    1.9857659109e+02    1.8143237557e+02
 202.5000000    1.0802292958e+02    1.9862449532e+02
 203.0000000    1.4609772055e+02    2.1813541214e+02
 203.5000000    2.3483439575e+02    2.2998079205e+02
 204.0000000    2.8900104197e+02    2.6631412019e+02
 204.5000000    1.9810565805e+02    3.0897289918e+02
 205.0000000    2.1898359087e+02    3.0451017731e+02
 205.5000000    2.7909549274e+02    3.2500151412e+02
 206.0000000    2.0020883220e+02    3.2454222885e+02
 206.5000000    2.2813820285e+02    3.2836128903e+02
 207.0000000    2.2241168640e+02    3.3249826551e+02
 207.5000000    2.3867315402e+02    3.4537183350e+02
 208.0000000    2.6232398593e+02    3.3724363365e+02
 208.5000000    2.7859522781e+02    3.5990634408e+02
 209.0000000    1.9789860096e+02    4.2407988936e+02
 209.5000000    2.3198578982e+02    3.6876250082e+02
 210.0000000    2.2173648654e+02    3.7058669941e+02
 210.5000000    2.4512621949e+02    4.4244873800e+02
 211.0000000    2.6074563356e+02    9.2670401810e+02
 211.5000000                -nan                -nan
 212.0000000    2.5223509921e+02    3.6227389594e+02
 212.5000000    3.1574993728e+02    3.9870462698e+02
 213.0000000    2.9326285852e+02    3.7644615538e+02
 213.5000000    2.8776422809e+02    4.1382533408e+02
 214.0000000    3.8468239892e+02    4.3685829114e+02
 214.5000000    3.8189297715e+02    4.4431297237e+02
 215.0000000    3.8190218175e+02    5.3599569295e+02
 215.5000000    4.1199837753e+02    5.4815666776e+02
 216.0000000    3.2826764597e+02    5.7232395808e+02
 216.5000000    2.8628933058e+02    5.8733519587e+02
 217.0000000    2.8569904963e+02    6.0264575372e+02
 217.5000000    3.0505006279e+02    6.1887283154e+02
 218.0000000    3.3963205703e+02    5.7197699673e+02
 218.5000000    3.5426090647e+02    5.3425180426e+02
 219.0000000    4.6101021044e+02    7.9491935605e+02
 219.5000000                -nan                -nan
 220.0000000                -nan                -nan
 220.5000000                -nan                -nan
 221.0000000                -nan                -nan
 221.5000000    4.8449802199e+02    9.2033379011e+02
 222.0000000    4.7253887350e+02                -nan
 222.5000000    4.7511243353e+02                -nan
 223.0000000    4.5582193362e+02                -nan
 223.5000000    4.5052912263e+02                -nan
 224.0000000    4.4507667972e+02                -nan
 224.5000000    4.8376845091e+02                -nan
 225.0000000    5.1741713096e+02                -nan
 225.5000000    1.7016687070e+02    2.5762172029e+02
 226.0000000    1.7445776417e+02                -nan
 226.5000000    2.4881552900e+02                -nan
 227.0000000    2.5392684449e+02                -nan
 227.5000000    2.7207090723e+02    3.0993749026e+02
 228.0000000    1.9781481242e+02    3.9855436526e+02
 228.5000000    2.2380890182e+02    4.2356682286e+02
 229.0000000    2.2678902466e+02    4.1961652621e+02
 229.5000000    2.6297499392e+02    3.3621112325e+02
 230.0000000    2.2601476455e+02    3.1132596381e+02
 230.5000000    2.0883862004e+02    2.8098278758e+02
 231.0000000    2.2177949121e+02    2.9723834028e+02
 231.5000000    3.0864975068e+02    3.0965505585e+02
 232.0000000    3.2987522218e+02    2.9906098571e+02
 232.5000000    2.4051256660e+02    3.0148163235e+02
 233.0000000                 inf    3.2637949744e+02
 233.5000000                -nan                -nan
 234.0000000                -nan                -nan
 234.5000000                -nan                -nan
 235.0000000                -nan                -nan
 235.5000000                 inf                -nan
 236.0000000                 inf                -nan
 236.5000000    2.4949371681e+02    3.6787128510e+02
 237.0000000    2.5946509982e+02    3.6611955207e+02
 237.5000000    2.5547329401e+02    4.7649551147e+02
 238.0000000    2.4390670066e+02    4.1549792020e+02
 238.5000000    2.4152398976e+02    3.9495405153e+02
 239.0000000    2.4469999721e+02    3.8093873130e+02
 239.5000000    2.5345179383e+02    3.5263645119e+02
 240.0000000    2.7414897964e+02    4.0863901544e+02
 240.5000000    2.2653757389e+02    3.6007670614e+02
 241.0000000    2.4337414203e+02    3.7240188532e+02
 241.5000000    2.3132040019e+02    4.5942771028e+02
 242.0000000    2.3670827063e+02    4.4813600370e+02
 242.5000000    2.3659016644e+02    4.4667800843e+02
 243.0000000    2.3380670829e+02    4.4830533519e+02
 243.5000000    2.3774791777e+02    5.4744615337e+02
 244.0000000    2.4160706032e+02    4.4969282168e+02
 244.5000000    2.3657817936e+02    4.4958496842e+02
 245.0000000    2.9566506156e+02    3.6830523572e+02
 245.5000000    2.8354762841e+02    3.5838952020e+02
 246.0000000    2.8942844589e+02    3.5430476941e+02
