#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            60.000000           60.000000          100.000000          100.000000          120.000000          120.000000          140.000000          140.000000          160.000000          160.000000
   0.0000000    1.9142189164e-04    2.9828301833e-21    2.0155929600e-05    2.5166159389e-22    8.6277031191e-06    1.7660534260e-22    4.0988877738e-06    4.0395999428e-23    2.0977475679e-06   -1.0717058630e-23
   0.2500000    1.9115765472e-04    2.5408083861e-21    2.0125040438e-05    1.3135175669e-22    8.6137569571e-06    1.3502565181e-22    4.0916903198e-06    4.9731873208e-23    2.0939236215e-06   -1.2154459309e-23
   0.5000000    1.9089319483e-04    2.8865873454e-21    2.0094157604e-05    2.7013654326e-22    8.5998163542e-06    1.7537446611e-22    4.0852198734e-06    1.0031159958e-22    2.0901706306e-06   -5.8796031574e-24
   0.7500000    1.9062852656e-04    7.5549897510e-21    2.0063281345e-05    2.3104896293e-22    8.5858813649e-06    5.8012596855e-23    4.0790217562e-06    7.1984458682e-23    2.0864270565e-06   -6.9751813340e-24
   1.0000000    1.9036366316e-04    1.6050753156e-21    2.0032411953e-05    3.1707656041e-23    8.5719521666e-06    8.0130002599e-23    4.0725168877e-06    1.1658196633e-22    2.0826212808e-06   -1.7536794287e-23
   1.2500000    1.9009861831e-04    1.1013798638e-20    2.0001549731e-05    5.1214981723e-22    8.5580288880e-06    9.0667400416e-23    4.0651516803e-06    7.4746821987e-23    2.0787338266e-06    4.2414716073e-24
   1.5000000    1.8983340746e-04    1.4937548267e-20    1.9970694885e-05    1.2223124036e-22    8.5441115536e-06    1.2489258649e-22    4.0571120639e-06    8.5885554272e-23    2.0748436848e-06   -8.1388233496e-24
   1.7500000    1.8956804331e-04    1.1669447933e-20    1.9939847535e-05   -7.7521374398e-23    8.5302002443e-06    9.2931726774e-23    4.0492905325e-06    3.5322472729e-23    2.0710590028e-06   -1.5167623582e-23
   2.0000000    1.8930253173e-04   -1.4939462072e-21    1.9909007963e-05   -1.1941033896e-23    8.5162950480e-06    1.2709965285e-22    4.0424860993e-06    4.3896529596e-23    2.0674028021e-06   -1.5238384343e-25
   2.2500000    1.8903684889e-04    3.5337855457e-21    1.9878176429e-05    6.7530079029e-23    8.5023957814e-06    1.3498305437e-22    4.0366180977e-06    1.4923378930e-23    2.0637769580e-06    2.1161278871e-23
   2.5000000    1.8877100320e-04    3.4853989398e-21    1.9847353032e-05    8.7542984264e-23    8.4885026653e-06    5.6008920661e-23    4.0307452237e-06    1.4933881298e-23    2.0600448472e-06    3.8888501260e-24
   2.7500000    1.8850519674e-04    8.3582362202e-21    1.9816537831e-05    1.1676241586e-22    8.4746170475e-06    2.6212404651e-22    4.0239474645e-06    8.9328682581e-23    2.0561585226e-06   -2.1296342512e-24
   3.0000000    1.8823955575e-04    7.2085048275e-21    1.9785731082e-05    4.2561091523e-23    8.4607391729e-06    1.9122824816e-22    4.0161966627e-06    7.4767228636e-23    2.0522142367e-06   -1.1861534086e-23
   3.2500000    1.8797364049e-04   -2.2994516029e-22    1.9754932946e-05    9.5337079366e-23    8.4468654327e-06    3.0353131392e-23    4.0082794091e-06    5.1696778339e-23    2.0483794969e-06   -8.9763109549e-24
   3.5000000    1.8770697807e-04    5.0058271003e-21    1.9724143526e-05    1.4705788581e-22    8.4329926784e-06    5.4645728523e-23    4.0009414821e-06    2.6853701053e-23    2.0447485921e-06   -1.3543852278e-23
   3.7500000    1.8744015990e-04    7.2959935511e-21    1.9693362902e-05   -1.4246192451e-22    8.4191258527e-06    1.6136453835e-22    3.9942545490e-06    5.1431406189e-23    2.0412538691e-06   -3.4649104430e-24
   4.0000000    1.8717455914e-04    6.3397141558e-21    1.9662591115e-05    2.1537097512e-22    8.4052744311e-06    2.3041664886e-22    3.9877666357e-06    8.6166491177e-24    2.0377149679e-06    2.1336035755e-23
   4.2500000    1.8691067647e-04    4.6039603411e-21    1.9631828310e-05    2.7894449684e-23    8.3914380926e-06    2.0260457851e-22    3.9810666981e-06    3.3277576054e-23    2.0339814891e-06   -3.1121536710e-24
   4.5000000    1.8664705484e-04    1.2459294241e-20    1.9601074542e-05   -4.7774750211e-23    8.3776027159e-06    8.5486245614e-23    3.9741114824e-06    7.7876515481e-23    2.0300433109e-06    4.6910463315e-24
