#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            60.000000           60.000000          100.000000          100.000000          120.000000          120.000000          140.000000          140.000000          160.000000          160.000000          180.000000          180.000000          200.000000          200.000000          220.000000          220.000000
   6.0000000   -3.2835481139e-28   -7.1058437001e-15    9.4145098604e-24   -9.3696599328e-16    1.6866752702e-25    8.0110523528e-14    2.9939756794e-26    6.0798131944e-11   -4.1839014768e-25   -1.3112249629e-11   -4.6049369843e-25   -2.8659468115e-13    1.7501588232e-28   -3.7417214542e-14    1.3406571830e-28    6.0223924476e-16
   6.4000000    1.3375378356e-27   -1.1030328885e-15    1.0270578448e-24    1.7708457188e-14    6.3051721390e-25    9.4408871088e-14   -4.7113724258e-24    3.5980124160e-11    5.6099119676e-25   -1.1609399671e-11   -4.5935582936e-25    5.7302953745e-13    9.8367021005e-28   -6.4465860175e-14    1.6497030731e-28    6.9241369895e-16
   6.8000000   -7.6089488801e-28   -1.2365901067e-15   -1.2491773446e-23    5.5873689626e-14    3.5808220493e-25    1.4806273722e-15   -5.7682940803e-24   -7.9193565099e-12    1.0556038257e-24   -6.6127726766e-12   -1.5865095323e-25    1.3648298346e-12    1.5699503086e-27   -6.3396078801e-14    1.6051541852e-28    2.0661203403e-16
   7.2000000    9.8719768556e-28   -1.3713974295e-14    3.0993118369e-24    2.8325664748e-14   -2.0816550270e-25   -1.5572882770e-13   -2.2516154898e-24   -4.1049416192e-11    6.5391848689e-25   -2.4064582637e-12    1.7652237271e-25    1.5710745951e-12    1.7570188291e-27   -2.8229425346e-14    1.7995565916e-28    2.0145533384e-17
   7.6000000   -1.2622627997e-27    5.6238391487e-15    1.2431607072e-23   -1.0861560912e-14   -5.0485631816e-25   -2.5277936857e-13    2.3620276872e-24   -4.3852214746e-11   -3.1744136306e-25    1.8451941793e-13    3.3486371548e-25    8.4966285045e-13    1.2691467447e-27    2.6818480999e-14    1.6144397432e-28    4.4494078501e-16
   8.0000000    8.5089715787e-28   -2.3177192213e-15   -8.2850166297e-25    5.2235709343e-14   -6.6923046014e-25   -2.3919638326e-13    4.4390586811e-24   -2.0863424172e-11   -1.1104776839e-24    1.9468916390e-12    2.6683553117e-25   -4.5999490800e-13    9.6341939626e-29    7.3632266378e-14    1.8353627380e-28    3.2215195604e-17
   8.4000000    6.3048399118e-28    1.1648770828e-15   -9.1311129941e-24    1.2200213642e-13   -6.5805072579e-25   -7.6299888234e-14    2.8456544295e-24    8.4479821990e-12   -1.2112396994e-24    3.4972360673e-12    4.7257801735e-26   -1.4959130637e-12   -1.2894430402e-27    8.9774551381e-14    9.2950652340e-29   -1.0406223618e-16
   8.8000000    8.9694104660e-28   -7.6582937926e-15   -2.8882608321e-24    7.8870513585e-14   -9.4172054327e-26    3.5852702950e-13   -1.3798588823e-24    2.5335269841e-11   -5.8905239878e-25    4.6792028415e-12   -1.8327623255e-25   -1.5753023051e-12   -2.5530452819e-27    6.9394214735e-14    6.0819497227e-29   -3.9727099606e-16
   9.2000000    2.4821750538e-28   -1.8768319961e-14    1.0386709430e-24   -1.7472613943e-14    6.4399080191e-25    1.0159021765e-12   -5.2570392354e-24    2.2129709494e-11    3.6328128567e-25    4.8435307956e-12   -2.8948798476e-25   -6.0314187881e-13   -3.2118627682e-27    2.3750781404e-14   -1.3988613129e-29   -2.9521662512e-16
   9.6000000    4.4490485605e-29    5.0656352682e-16    3.2231854103e-24    1.2917327757e-14    8.6365136088e-25    1.3681660756e-12   -6.0477840491e-24    5.3464024307e-12    1.0557967662e-24    3.5922890162e-12   -2.3672626572e-25    9.7750038723e-13   -2.9166347792e-27   -2.8949465680e-14    1.4038207981e-29    2.6331252333e-16
  10.0000000    5.7502866566e-28    1.1278077146e-14    6.6082615931e-24    9.5486517609e-14    5.2703725097e-25    7.2566124046e-13   -2.9980623291e-24   -9.7540880032e-12    1.0002485555e-24    1.2316421966e-12   -1.1538900545e-25    2.3269490804e-12   -2.1924159132e-27   -7.1982296416e-14    4.8076500687e-29    7.0106714830e-16
