#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            60.000000           60.000000          100.000000          100.000000          120.000000          120.000000          140.000000          140.000000          160.000000          160.000000          180.000000          180.000000          200.000000          200.000000          220.000000          220.000000
   0.0000000    2.3843142676e-12    9.4549704952e-29   -9.8164905995e-11    1.0905684497e-26   -1.9032801407e-14    9.9670315431e-29   -3.6622464504e-10    1.7004205964e-24   -2.8295394942e-11   -4.0908043197e-25   -1.1684101588e-10   -4.1904295601e-28    4.7333430091e-13    6.2425019269e-29    2.5184945023e-13   -1.8531838145e-30
   0.4000000    2.5948620247e-12    3.4299357364e-28    5.3884382183e-10   -3.5315037017e-25    6.7864313948e-12    1.6674725890e-27   -2.2326459410e-10   -1.7684671688e-25   -8.5345028468e-12   -4.9412025871e-25   -9.5005028356e-11   -3.9411757965e-26    4.7392363701e-13    3.3252826518e-29    2.6866419626e-13    6.0642964572e-30
   0.8000000    2.5539436337e-12    2.3886636734e-28    2.0948324559e-10    8.1921034154e-25   -3.4512534959e-11   -1.5525521277e-26   -1.2789244778e-10   -1.9814786015e-24    1.2105779112e-12   -2.3501929193e-26   -1.0784104061e-11   -1.5553402704e-26    4.7468815455e-13   -7.4548704096e-30    2.7925827258e-13    1.3026822151e-29
   1.2000000    2.4084431574e-12    1.0790738464e-29   -3.2061043902e-10    3.1238657421e-24   -6.1237580194e-11   -1.1792922693e-26   -1.6891081250e-10   -1.3699716977e-24    1.3472229174e-11    7.6673145133e-25    5.3915826604e-11    1.4840450634e-26    4.7172134684e-13   -2.8342251951e-29    2.7484909406e-13    2.8922565868e-29
   1.6000000    2.4439089826e-12    1.4707608479e-28   -3.3916307176e-10   -4.6775336910e-24    6.4736018084e-11    5.6406291132e-26   -1.9460449361e-10    8.8909169542e-25    2.4198839964e-11    1.0222457915e-24    1.0356742916e-10    3.5817791396e-26    4.6395979974e-13   -3.0773603361e-29    2.5564391749e-13    1.9220931082e-29
   2.0000000    2.6400966160e-12    2.2809682382e-28    3.6770558475e-10   -1.9834740956e-24    4.3082861011e-11    1.3296097158e-25   -5.9767003920e-11    2.3106634965e-24    2.1043121514e-11    7.2421588264e-26    1.2322995649e-10    3.7154777845e-26    4.5542739289e-13   -1.9602063894e-29    2.3390832693e-13   -8.3934221420e-30
   2.4000000    2.5039240693e-12   -2.4765766042e-29   -2.5765960794e-10    4.6067468851e-24   -3.4398874806e-11    9.5127358715e-26    1.8844524829e-10    2.0012248440e-24    1.0555387299e-12   -1.3507018812e-24    1.0520798334e-10    2.1384550684e-26    4.5153532788e-13    1.2171139610e-29    2.2486337991e-13   -2.9833984212e-29
   2.8000000    2.4187464905e-12    5.0358986068e-28   -3.5909900289e-10   -1.3387115194e-24    1.5938090297e-11   -8.7060254663e-26    2.9137663480e-10    1.1044985778e-24   -2.5122798289e-11   -1.5967950326e-24    7.6675741828e-11   -1.9778416705e-27    4.4986867389e-13    6.9763120028e-29    2.2638052152e-13   -2.7991621868e-29
   3.2000000    2.5090723390e-12    1.2816638467e-28    2.5223475323e-10   -1.1328495960e-24    8.8195039815e-12   -2.4134114812e-25    1.3183759517e-10    7.3064510722e-26   -2.0378850417e-11   -2.7948922606e-25    7.2327602980e-11   -2.1629777548e-26    4.4615054406e-13    7.3166297971e-29    2.3481749081e-13    4.5991868658e-30
   3.6000000    2.5410199979e-12    9.7821575795e-28    2.0798109399e-10    8.2950651086e-25   -8.0292011716e-12   -1.5411309975e-25   -7.2880348894e-11   -1.6273075471e-24    5.1956974384e-11    8.6322561052e-25    8.5173007945e-11   -3.3033804091e-26    4.3574328855e-13    2.9787533546e-29    2.4605782171e-13    2.9542664335e-29
