#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            60.000000           60.000000          100.000000          100.000000          120.000000          120.000000          140.000000          140.000000          160.000000          160.000000          180.000000          180.000000          200.000000          200.000000          220.000000          220.000000
   0.0000000    6.3174608487e-16   -1.7677271221e-15   -4.2795118684e-16   -1.0839630326e-10   -3.8041192976e-16    1.9396675487e-13   -8.1760561438e-11    1.0052570438e-10   -2.6540667393e-12    7.9351750575e-12    6.9496091246e-12   -1.6813032939e-11    3.4931050319e-17   -3.1991068159e-16    1.0902264781e-16    5.6875859957e-16
   0.4000000    7.2236520411e-16   -1.1595071702e-15   -1.9708892749e-15    3.7675716523e-11   -1.1100239461e-16   -1.3818183933e-12   -8.3620066368e-11    7.1132979963e-11   -2.4069539697e-11    3.2318253314e-12    1.6517899611e-12   -1.6950008764e-11    2.9465056784e-16   -2.0606097726e-16   -3.2002954660e-17    5.6052112810e-16
   0.8000000   -9.0519358389e-16    6.4412571500e-17    1.8399955769e-15    4.8418186491e-11    2.8601807362e-16    8.2794114585e-12   -5.8382693558e-11   -4.5202307685e-12   -2.6792158633e-11   -2.5831323569e-12   -2.7168551965e-12   -3.7549341993e-12    2.4405067771e-16   -1.3229097948e-16    1.7307582711e-17   -3.9647367114e-16
   1.2000000    7.1265532995e-16    5.8355723016e-16   -9.7934839271e-16   -6.0731362851e-11    1.0178524706e-15    2.8562008525e-11   -3.8882549434e-11   -5.4556056609e-11   -2.2035472273e-11   -8.6434985590e-12   -4.6078221849e-12    5.8926945480e-12    4.1125094996e-16    1.1770773625e-16    1.0335866483e-16   -8.8238689723e-16
   1.6000000   -1.0910754780e-16   -1.2333805417e-16    1.1682733948e-15   -3.4800410305e-12   -9.6948094352e-17   -2.3636566179e-11    4.3420599066e-12   -6.5189029982e-11   -9.6095449136e-12   -7.8639636751e-12   -3.3731531749e-12    8.8444911978e-12    3.0367108653e-16   -1.4056383092e-16    1.5109595060e-17   -1.1798493073e-15
   2.0000000    1.5364579457e-15   -2.6089432826e-15    1.9926271731e-15    9.8041785711e-11   -3.8855043055e-15   -2.3864245062e-11    5.5833750806e-11   -4.0022789105e-11    6.5674642028e-12    4.0989910672e-12   -6.6629386017e-14    5.0637345005e-12   -5.0262154753e-16   -1.6464978422e-17   -1.7932379584e-16   -5.0159793863e-16
   2.4000000   -2.5627194336e-15   -1.7424745691e-15   -4.1258209773e-15   -1.3119721725e-11   -1.7264425882e-15    1.2596837375e-11    7.9152500246e-11   -1.2526736635e-11    2.4378589033e-11    1.7837936582e-11    2.8307162543e-12   -7.4214919163e-13   -1.4306803604e-15    1.2406365677e-15   -2.0418653689e-16    3.8082744286e-16
   2.8000000    3.8148154907e-15    2.0708552665e-15   -4.8063702797e-15   -7.8813633751e-11    2.2537962286e-14   -8.0584632330e-12    5.6298622517e-11   -9.2870828478e-12    3.8206037229e-11    1.8035253448e-11    3.3825678162e-12   -3.3447606363e-12   -1.4056331490e-15    2.6398205660e-15    1.4898994457e-16    1.3894254837e-15
   3.2000000    6.1586163444e-15   -1.1227109720e-16    6.0693463488e-15    2.2116735834e-11    4.9215699306e-14   -1.9958052152e-12    1.6817044752e-12   -2.1524915712e-11    3.5636648664e-11    2.8261293701e-12    1.5410058315e-12   -7.6605992555e-13    1.3271496884e-15    6.1520745553e-16    4.8347033259e-16    1.4915943713e-15
   3.6000000    4.5494945272e-16   -7.2583682951e-15   -1.0688904353e-15    8.8643722666e-12   -4.1417695284e-15    5.6771095823e-12   -4.4328134495e-11   -2.3622916945e-11    1.1036246517e-11   -1.1736035775e-11   -5.8893927086e-13    3.9802357287e-12    5.1735719635e-15   -5.3958706110e-15    5.5452543804e-16    6.8258505078e-16
   4.0000000   -7.5779593101e-15    1.5562136843e-16   -4.1764754287e-15   -3.9512759198e-11   -2.1642710947e-13    2.3420364089e-12   -4.3872984371e-11   -9.7238848365e-12   -2.0363450146e-11   -1.1226905298e-11   -7.8698608631e-13    5.8531687882e-12    6.3830199131e-15   -1.1492165210e-14    3.6801508495e-16    1.9718695058e-16
   4.4000000    8.7593675017e-15   -3.3999446438e-15    8.6177200677e-15    1.0603667300e-11   -4.6598055925e-13    3.5151387522e-12   -3.0011546996e-12    1.0497856474e-12   -3.3013876612e-11    1.3205199990e-13    8.2761238933e-13    3.1422354000e-12    5.3395400003e-16   -1.0353596475e-14    1.5132461809e-16    1.7994783520e-16
   4.8000000   -2.4582603045e-15   -1.1583428340e-16    1.7378712298e-14    3.3052954362e-11   -2.3379765986e-13   -3.7463815088e-13    3.1574122734e-11   -2.5501934108e-12   -1.8316536587e-11    7.4792368867e-12    2.0359937538e-12   -1.1337580382e-12   -9.1396973195e-15    2.9812143770e-15    8.2767861954e-16    1.9165717982e-16
