#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            60.000000           60.000000          100.000000          100.000000          120.000000          120.000000          140.000000          140.000000          160.000000          160.000000          180.000000          180.000000          200.000000          200.000000          220.000000          220.000000
   0.0000000   -1.8002908738e-14    6.9655328488e-29    2.1959233754e-10   -4.9690121916e-26   -3.9059296786e-14    3.6878565832e-29   -1.0647932622e-09   -9.1939003439e-25   -3.8283128813e-11   -3.0126103632e-25    8.4826606723e-11    4.9673959003e-28   -4.7507242871e-15    2.3284899281e-29    8.7083723133e-16    9.8812539304e-31
   0.4000000    2.0072943847e-14    2.6010131333e-28    2.1204421641e-10    1.1234072358e-26    1.5318077528e-12    1.3673978304e-26   -1.3651592638e-09   -8.2691839050e-25    3.0216654212e-11   -3.6067783918e-25    7.4983414670e-11   -2.5817024016e-26   -2.2381557284e-15    7.5430977315e-30   -2.6119308226e-16    1.4347640164e-30
   0.8000000    4.7914386380e-15    3.3028053026e-31    1.0519334208e-10   -2.2789130205e-24    1.3593354688e-12   -2.9967367392e-26   -1.1149757659e-09    1.7179465277e-25    5.8242936957e-11   -5.9905391101e-26    1.2531824668e-11   -1.0347468772e-26   -4.1516366708e-16   -2.8995507402e-30    1.6424552085e-15    6.6135452768e-30
   1.2000000   -2.6677058421e-15    2.1907391280e-28   -1.0780427653e-10    4.6480845881e-24   -2.4984700318e-11    2.6265983433e-26   -3.1777698407e-10    7.1984969931e-25   -4.6845697430e-11    3.1370088928e-25   -3.6240388013e-11    7.2379541590e-27    1.9584573354e-16   -4.0604647999e-30    3.2866684818e-15    4.2127975697e-30
   1.6000000   -5.1526431589e-15    1.5400523907e-28   -3.4680481583e-10   -6.4332624945e-25    1.4756903157e-11    8.3840539065e-26    8.0138913555e-10    4.3241622760e-25   -1.7417684881e-10    4.2470363408e-25   -8.5990302514e-11    2.0413191288e-26   -1.1957849324e-15   -2.7165866171e-30    2.5266568985e-15    9.4736014738e-30
   2.0000000   -3.7379740222e-15    2.1501508789e-29    2.7597338257e-10   -4.7928969050e-24    2.5799898567e-11    7.3694639077e-26    1.3150901701e-09   -2.6380368447e-25   -1.6372735645e-10    5.7504018173e-26   -1.2083406693e-10    2.1811541359e-26   -2.3417782611e-15   -5.9769642043e-30   -2.2208547854e-15   -1.1419729987e-29
   2.4000000   -6.2405782845e-15    2.4984986111e-28   -1.7952296339e-11    3.7865374518e-24   -1.7505738074e-11    5.0560086534e-26    8.1575129530e-10   -2.8398521478e-25   -3.2801423547e-11   -4.8236962864e-25   -1.1769454498e-10    1.2262611927e-26   -1.0165954560e-15    1.0114334918e-29   -6.4634479808e-15   -3.3162073950e-29
   2.8000000    2.3339274258e-14    1.9429928786e-28   -2.8256073913e-10   -1.1137996755e-25    6.5865806646e-12   -5.8831202683e-26   -6.4526085229e-11    5.4776323796e-25    5.0869853553e-11   -5.9262195215e-25   -9.4877446510e-11   -4.5588776762e-28    7.4744636773e-16    2.3414183192e-29   -8.0505998147e-15   -1.5437345113e-29
   3.2000000   -9.8695961625e-15    9.8446197055e-29    9.5417711046e-11   -1.1205177390e-24    1.1884744414e-11   -2.1476460375e-25   -4.4774594668e-10    8.0339000243e-25   -2.8686287039e-12   -1.1029512617e-25   -9.0533140040e-11   -9.8236916398e-27   -5.0279277096e-16    2.8253222145e-29   -6.1437977636e-15    1.4784750806e-29
   3.6000000   -1.4397064792e-14    5.5563935280e-28    1.6681685843e-10    5.6221627154e-25   -7.1427354084e-12   -1.8344990833e-25   -1.7569756957e-10   -4.2300810263e-25   -1.0148458441e-10    2.9188594352e-25   -1.0215042455e-10   -1.5557524438e-26   -6.3642839510e-15    1.0881929363e-29    2.7516147589e-17    1.4146864775e-29
