#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            60.000000           60.000000          100.000000          100.000000          120.000000          120.000000          140.000000          140.000000          160.000000          160.000000          180.000000          180.000000          200.000000          200.000000          220.000000          220.000000
   0.0000000   -5.3997618376e-15    7.1218410460e-15   -1.3286102037e-10    1.3286075086e-10    7.5761542195e-14   -7.4557171241e-14   -3.7224080085e-11    7.8244810671e-11    2.5498006941e-11   -5.2690271384e-11   -9.5956482354e-12   -1.4350260457e-11    1.2471544086e-15   -8.8807249887e-16   -2.5293850471e-16    1.1103551687e-15
   0.4000000   -8.6534792326e-16   -2.2384709847e-16    7.2148732692e-11   -7.2149437575e-11   -1.1308871575e-12    1.1316618958e-12   -3.2423922114e-11    9.9962116944e-11    2.1634479443e-11   -2.5487701121e-11   -8.8059985555e-12   -1.0648139085e-11    1.3057371938e-15   -1.3378066912e-15    6.5397658199e-17    5.2343448524e-16
   0.8000000   -3.6533790470e-16    1.3238510792e-15    5.4714842334e-11   -5.4718129777e-11    1.8608702676e-12   -1.8624130418e-12   -9.7161228588e-12    1.0325960526e-10    4.0792612253e-12    1.5263004408e-11   -2.3749769296e-12   -3.1503084774e-13    1.0183886307e-15   -1.0522361742e-15    6.7601371921e-16   -3.5109240608e-16
   1.2000000    3.3142983805e-15   -1.5941253718e-15   -7.9144657250e-11    7.9145657314e-11    2.0122686151e-11   -2.0123145097e-11   -1.8500467555e-11    6.6194278339e-11    1.0896555042e-11    3.2678678438e-11    2.6397313345e-12    6.2006904737e-12   -2.4566095419e-16    3.4692995353e-17    1.4024259545e-15   -1.3920456348e-15
   1.6000000   -5.5014861510e-15    5.2987896966e-15    6.8767755312e-12   -6.8785901412e-12   -1.3932484675e-11    1.3932947385e-11   -3.1913626623e-11   -1.8414175009e-11    2.8536559731e-11    2.4950995554e-11    4.7312778548e-12    6.8250320313e-12   -7.2656459493e-16    9.5208907293e-16    1.0529980227e-15   -1.1039208519e-15
   2.0000000   -2.4917964232e-15   -1.5640786530e-15    1.6512147975e-10   -1.6512026989e-10   -1.9084124865e-11    1.9085815549e-11   -1.2959063880e-11   -9.2897435617e-11    2.7161884469e-11    2.9116351312e-12    3.2209489207e-12    2.4278889073e-12   -2.4813483269e-16    1.2866618683e-15    3.4438782880e-16   -6.4840778764e-17
   2.4000000    3.1671753137e-15    5.7216193963e-15    1.2890574890e-11   -1.2892714104e-11    1.2025975734e-11   -1.2023353321e-11    2.0894435640e-11   -9.8929327516e-11   -5.7290575719e-12   -1.8787275908e-11    1.7326922926e-13   -2.4841430014e-12    9.4228298757e-16    1.6439598513e-15   -2.8696526418e-16    1.3149979673e-15
   2.8000000   -7.5106215313e-16   -3.8337333967e-15   -1.6563222891e-10    1.6563559914e-10   -5.4271884113e-12    5.4178273506e-12    1.7780976038e-11   -3.7474127585e-11   -4.5200510887e-11   -3.0473707865e-11   -1.4654125029e-12   -3.6559511158e-12    2.2988896501e-15    1.6602402946e-15    3.0059251776e-16    2.0565317109e-15
   3.2000000   -6.6899073446e-15   -1.0369007018e-16   -5.2491654993e-11    5.2492959788e-11   -6.2562596564e-12    6.2300488976e-12   -1.5513833496e-11    3.3046853352e-11   -5.4322401066e-11   -2.5679858161e-11   -3.0457760715e-13   -2.6390908059e-13    2.1360065142e-15   -1.8453058292e-15   -4.9182540556e-16    1.7811084714e-15
   3.6000000   -4.8125956745e-15    5.7993717779e-15    7.1728010976e-11   -7.1730944798e-11    5.0400576113e-12   -5.0471350479e-12   -2.7501169911e-11    5.4575590779e-11   -2.5154930809e-11   -4.1609866689e-12    2.1043780850e-12    4.0399022163e-12   -8.9905527684e-16   -8.3065973539e-15   -4.2624342870e-16    5.0742682676e-16
   4.0000000   -1.2381525335e-14   -9.4096619352e-15    2.6380840806e-11   -2.6385749982e-11    4.9718416941e-12   -4.8656087176e-12   -7.7914238510e-12    2.2028380074e-11    1.4480938227e-11    2.1507944242e-11    2.9662322543e-12    4.6172469360e-12   -5.2966757935e-15   -1.3178721725e-14   -2.2667850190e-16   -5.3792445399e-16
   4.4000000    1.5865162835e-15    9.9016829955e-15   -4.6087794325e-11    4.6089269506e-11    2.6385306126e-12   -2.3861940334e-12    1.3169940193e-11   -2.3347420465e-11    3.2577069080e-11    3.0961706563e-11    1.4580041769e-12    9.3930843941e-13   -6.5313968139e-15   -7.8136498948e-15    1.6760346608e-17   -9.4508820847e-16
   4.8000000   -9.9069165264e-15    1.7423229080e-14   -3.1931469444e-11    3.1946276149e-11   -1.0487123605e-12    1.1928917414e-12    1.9594573539e-11   -4.4253502753e-11    2.3097408246e-11    1.5846265813e-11   -5.9121382738e-13   -2.9501943778e-12   -1.4221702673e-15    8.1443890552e-15    1.1512021259e-15   -1.1829636393e-15
   5.2000000   -7.4003096101e-15   -1.2603697994e-15    4.2414214781e-11   -4.2413306446e-11   -6.5388010896e-12    6.0951767953e-12    1.8731590500e-11   -3.6667107009e-11    3.1904876154e-12   -8.9494522480e-12   -1.1158121689e-12   -3.1807357466e-12    1.0953178291e-14    2.5034570511e-14    1.3602049753e-15   -9.8401989745e-16
   5.6000000   -1.1259579353e-14   -7.1093430217e-15    7.3240409555e-11   -7.3267383249e-11   -1.1565421845e-12    2.9234806983e-14    1.5713743954e-11   -1.6714148254e-11   -9.7314165645e-12   -2.0466723064e-11   -1.2469219110e-13   -1.7276504933e-13    2.3947381585e-14    2.8923793487e-14    1.5646792084e-15   -1.3357771906e-15
   6.0000000   -3.2000001442e-16    9.1343838490e-15    3.2829339380e-13   -3.5819500536e-13    9.7732911071e-12   -1.0747516554e-11    8.1973066726e-12    1.8078492495e-12   -1.0876473372e-11   -1.0868483323e-11    7.2809978411e-13    2.5285288730e-12    2.7715884455e-14    1.0256136559e-14    1.8596269015e-16   -7.9952091288e-16
   6.4000000    4.6853174797e-15   -1.5381852003e-14   -7.1572428871e-11    7.1583181670e-11    3.1882786747e-12   -2.6969056738e-12   -1.6299187853e-12    1.4153894246e-11   -4.9794596147e-12    8.4108398449e-12    3.1445284860e-13    2.4626751109e-12    1.5861056493e-14   -2.5056418731e-14   -9.5302834585e-16    2.3974247305e-16
   6.8000000   -5.6077994498e-15    1.0109905028e-14   -6.2949112793e-11    6.3009649658e-11   -3.5923452164e-12    5.9987075628e-12   -5.3950659610e-12    1.8913028936e-11    1.0344421410e-12    2.1015208630e-11   -9.2240752580e-13    1.5918369401e-13   -8.9554463566e-15   -5.7643267036e-14   -2.1361753802e-15    1.3279733197e-15
   7.2000000   -6.3793484800e-15    2.0085486740e-14   -1.2593121096e-11    1.2652750770e-11    1.6870538079e-12    1.3543203882e-12    8.5937448480e-13    1.3157818540e-11    2.7697511278e-12    1.9315427254e-11   -1.8103871102e-12   -2.3945532249e-12   -3.5331903587e-14   -6.6635359954e-14   -2.4965179716e-15    1.8132776500e-15
   7.6000000    6.8950230442e-15   -1.9419195159e-14    2.7221556445e-11   -2.7276535770e-11    1.4291214881e-12    9.8749203731e-14    1.1974183821e-11   -4.0399769221e-12    1.2363223247e-13    6.8182120108e-12   -1.6871372719e-12   -3.7431180356e-12   -4.7372660065e-14   -4.5477655575e-14   -1.5698380764e-15    1.3834247026e-15
   8.0000000   -2.9336955042e-15    1.0242457629e-14    1.2833139696e-11   -1.3053027404e-11   -5.1190605266e-12    3.8225877249e-12    1.9643074193e-11   -2.5922111631e-11   -3.9083442412e-12   -7.1592244197e-12   -7.5767548300e-13   -3.5112715872e-12   -3.6115649110e-14    1.4452965398e-16   -1.0641263105e-15    9.1345592705e-16
