#       time             L^2_Ham             L^2_Mom
 100.8000000    2.3446792260e+02    5.2870625352e+02
 101.6000000    1.6792174089e+02    5.4850828587e+02
 102.4000000    2.3457198525e+02    5.3012612487e+02
 103.2000000    2.3488547433e+02    5.3012125996e+02
 104.0000000    2.3488693946e+02    5.3111204889e+02
 104.8000000    2.3488693946e+02    5.3050230719e+02
 105.6000000    2.3488721873e+02    5.3048519348e+02
 106.4000000    1.6729813145e+02    5.4556444812e+02
 107.2000000    1.6685788309e+02    4.4748503320e+02
 108.0000000    1.6688537075e+02    5.4443724241e+02
 108.8000000    2.1908118838e+02    4.8891475422e+02
 109.6000000    2.1936753416e+02    4.8815434957e+02
 110.4000000    1.6750505289e+02    4.4539683919e+02
 111.2000000    2.3525773968e+02    5.3018194860e+02
 112.0000000    2.9524951816e+02    4.7870189315e+02
 112.8000000    1.6814374536e+02    5.4517376280e+02
 113.6000000    2.3634986448e+02    5.4343751713e+02
 114.4000000    2.3591708750e+02    5.4347077582e+02
 115.2000000    2.3598772754e+02    5.3750227934e+02
 116.0000000    2.3348857016e+02    5.8297106465e+02
 116.8000000                -nan                -nan
 117.6000000    1.6971847726e+02    5.8368326389e+02
 118.4000000    1.6844101345e+02    5.8416441184e+02
 119.2000000    1.7103007675e+02    5.8340086940e+02
 120.0000000    1.6867963816e+02    5.8321041069e+02
 120.8000000    2.2200236585e+01    4.1175713029e+01
 121.6000000    2.2883061197e+01    2.8718153198e+01
 122.4000000    1.3300228192e+01    2.8879120500e+01
 123.2000000    2.1858877021e+01    2.8969950799e+01
 124.0000000    2.2883061255e+01    2.8286576098e+01
 124.8000000    2.2883061251e+01    2.8266238620e+01
 125.6000000    2.2883061251e+01    2.8264007218e+01
 126.4000000    3.8057463432e+01    5.1503078925e+01
 127.2000000    4.8714542719e+01    4.1517418283e+01
 128.0000000    4.8720707071e+01    4.1510350285e+01
 128.8000000    4.8720707128e+01    4.1510350285e+01
 129.6000000    9.8848341806e+01    7.3808267144e+01
 130.4000000    2.3154229231e+02    2.4284895299e+02
 131.2000000    9.9176704310e+01    3.0805454638e+02
 132.0000000    9.9176704310e+01    3.2233929367e+02
 132.8000000    1.1069319560e+02    3.2673530505e+02
 133.6000000    1.1408235963e+02    3.1386258708e+02
 134.4000000    1.0757100428e+02    3.1499659289e+02
 135.2000000    1.1258110766e+02    3.2215588247e+02
 136.0000000    8.1863904876e+01    3.2629939792e+02
 136.8000000    1.1069181480e+02    3.1455619049e+02
 137.6000000    1.1713280374e+02    3.1813402899e+02
 138.4000000    1.1216828864e+02    3.1844208881e+02
 139.2000000    1.1382302952e+02    3.3973337283e+02
 140.0000000    1.1829779424e+02    3.3929768988e+02
 140.8000000    1.1912516424e+02    3.3798771846e+02
 141.6000000    1.2230876202e+02    3.4203755916e+02
 142.4000000    2.4486758436e+02    2.9260153661e+02
 143.2000000    2.6608558080e+02    2.9372934109e+02
 144.0000000    4.0149145705e+02    5.8700429727e+02
 144.8000000    4.0447319961e+02    6.0064055528e+02
 145.6000000    4.0482565298e+02    5.3490673005e+02
 146.4000000    4.4402511789e+02    4.8726099230e+02
 147.2000000    4.4403067352e+02    4.8814280986e+02
 148.0000000    4.2979970105e+02    4.7972190638e+02
 148.8000000    4.7967666169e+02    4.8865805920e+02
 149.6000000    4.7995595837e+02    4.8863685498e+02
 150.4000000    4.7850827653e+02    4.8362319506e+02
 151.2000000    4.7847945275e+02    4.8361033794e+02
 152.0000000    4.7847898460e+02    4.8361014328e+02
 152.8000000    4.7847891772e+02    4.8361014328e+02
 153.6000000    3.2711902128e+02    4.0862201159e+02
 154.4000000    3.7293926387e+02    5.3934285670e+02
 155.2000000    3.0899313748e+02    3.4489870422e+02
 156.0000000    3.2872574309e+02    4.1335901739e+02
 156.8000000    3.2706648677e+02    4.1395821189e+02
 157.6000000    3.2729662733e+02    4.1686237228e+02
 158.4000000    3.3082976089e+02    4.1931035918e+02
 159.2000000    3.3442399023e+02    4.2371295155e+02
 160.0000000    3.3072997520e+02    4.2370511029e+02
 160.8000000    2.5346111697e+01    2.4855459428e+01
 161.6000000    1.5082675881e+01    2.9304519303e+01
 162.4000000    1.1915666974e-03    1.4839509593e+02
 163.2000000    1.3965049517e-03    1.4839509592e+02
 164.0000000    1.4715182919e-03    1.4839509592e+02
 164.8000000    1.4379462856e-03    1.4839509592e+02
 165.6000000    1.6923308492e-03    2.2587561074e+02
 166.4000000    2.8151108884e-03    1.4840186839e+02
 167.2000000    4.8962022056e-03    3.0712951441e+02
 168.0000000    7.8260753160e-03    1.4840186838e+02
 168.8000000    1.1516727195e-02    1.4840186839e+02
 169.6000000    1.7128553600e+01    1.3330431445e+02
 170.4000000    2.2542195290e+01    1.3138819231e+02
 171.2000000    2.2936906346e+01    1.3135433571e+02
 172.0000000    2.2936912519e+01    1.3135433577e+02
 172.8000000    5.7623334807e+01    1.5489592379e+02
 173.6000000    5.7446969956e+01    1.5929276509e+02
 174.4000000    5.2838287988e+01    1.5705925212e+02
 175.2000000    5.1750261853e+01    1.5687471315e+02
 176.0000000    5.3293972780e+01    3.1994436028e+02
 176.8000000    3.8262012654e+01    1.4996705799e+02
 177.6000000    3.3120363286e+01    2.0392886367e+02
 178.4000000    1.9212548723e+02    3.1992140657e+02
 179.2000000    1.1777244140e+02    4.2862185592e+02
 180.0000000    2.6972543838e+02    3.8832334019e+02
 180.8000000    2.7019235348e+02    4.7219479318e+02
 181.6000000    2.7019235392e+02    4.7219479319e+02
 182.4000000    2.5173810900e+02    4.3069995951e+02
 183.2000000    2.5173816090e+02    3.8704790382e+02
 184.0000000    2.7502801695e+02    4.7749517165e+02
 184.8000000    2.7334167939e+02    4.7701213461e+02
