#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            60.000000           60.000000          100.000000          100.000000          120.000000          120.000000          140.000000          140.000000          160.000000          160.000000          180.000000          180.000000          200.000000          200.000000          220.000000          220.000000
   0.0000000    8.4416331722e-28    1.0512260365e-15    3.5407834885e-25    2.9142312439e-16   -3.3890251723e-26    6.1583221689e-16    4.4901519640e-23    3.4213719019e-11   -1.3694589770e-24    1.5490384222e-11   -4.6622736288e-26    1.7870571621e-15   -9.0207768716e-30   -4.7571221102e-16    1.4527865698e-28    2.5354338172e-16
   0.4000000   -6.7665591497e-28   -6.7510090690e-16    4.7661691310e-25   -5.1061648165e-16   -1.1198877199e-26   -1.0554133180e-16    1.8359098143e-23    3.0186545641e-11   -1.4013365901e-25    5.5099562146e-12    1.5685287223e-25    2.2959551271e-12   -1.0753990820e-28   -5.9818389717e-16    2.3808615137e-28    1.6715088682e-16
   0.8000000   -2.6432798185e-28   -7.9303783448e-16   -2.7695513716e-25   -8.5236167030e-16   -1.8338735180e-24   -1.0489154826e-15   -2.4846802342e-23   -7.0576897706e-12    1.8242092462e-24   -4.1630143089e-12    3.6587128175e-25    2.3972166989e-12   -2.9278769894e-28   -2.9885471437e-16    2.0577560443e-28    7.6841213574e-17
   1.2000000   -3.4326256314e-28    3.6034236679e-15    2.9088892376e-24    2.7360636443e-16    1.9200430027e-24   -4.2800390346e-16   -3.1857647063e-23   -3.2036818370e-11    7.2941890373e-25   -4.1100866245e-12    1.8703534435e-25    1.9813798938e-12   -3.5746175497e-28    6.2022821677e-17   -4.2868515395e-29   -2.5659231539e-17
   1.6000000   -2.1449991261e-28   -7.0655790277e-16   -7.5036642551e-24   -3.7592136087e-16    1.3737720489e-24    2.5177873111e-16   -6.1572855591e-24   -2.9718698812e-11   -2.0183422369e-24    8.8291566761e-13   -2.3893522150e-25    1.1295839809e-12   -2.3168140818e-28    5.2168674150e-16   -3.3743321445e-28   -2.0354112227e-16
   2.0000000   -2.2297526832e-28    1.9442548186e-15   -7.4383683999e-24   -3.4681690347e-15   -2.1200815928e-24   -1.4569812851e-15    1.9115482513e-23    1.3507994569e-13   -2.7227372407e-24    1.3426722983e-12   -3.7183494699e-25    2.2164155740e-13    2.6403422094e-29    8.0621738637e-16   -4.5623586233e-28   -2.1955058549e-17
   2.4000000    1.2926912048e-29    2.0097879779e-15    1.6564068971e-23    2.4417719433e-15    7.6300697898e-25   -1.8975630756e-16    1.7596103782e-23    2.7499721291e-11   -2.1760370263e-25   -5.3328754251e-12    7.0657394189e-26   -5.5078410801e-13    6.5566054641e-29    1.2851046440e-15   -3.0508832896e-28   -5.6627657123e-17
   2.8000000   -2.1214391511e-28   -1.9871139220e-15   -5.4702474733e-24    5.7727587843e-16   -8.4454725171e-27   -1.3990274773e-16    4.6847387559e-25    1.9730628406e-11    2.4691304532e-24   -1.0192309973e-11    5.7134517461e-25   -1.0232886335e-12   -6.3068034339e-29    6.2120474818e-16    6.7895378481e-30   -4.9550486819e-17
   3.2000000   -2.0892166421e-28    7.2894471246e-16   -1.2297569092e-23    2.1206593812e-15   -2.4184594138e-25   -4.5351539828e-16   -6.4230663291e-24   -1.5192997740e-11    2.3877558255e-24   -5.4909899457e-12    5.9900045836e-25   -1.1713950825e-12   -1.5481595105e-28   -1.2337681438e-15    1.5778713402e-28    2.2331719795e-16
   3.6000000    4.8335215333e-28    1.3858419991e-14    1.4981326353e-23    4.3812458516e-16    3.8178678686e-25   -2.6542758627e-15    1.0704761889e-24   -3.5702560314e-11    2.1115717068e-25    4.6755878416e-12    3.0486848687e-25   -1.3466091898e-12   -2.3088538597e-28   -3.2835571948e-15    1.4561082735e-28    2.1543945699e-16
   4.0000000   -5.9564933783e-28   -3.8850970274e-15    5.0458031906e-24   -2.0054227739e-15   -1.4638400907e-25   -9.2459510355e-16    6.6503769546e-24   -2.2526070266e-11   -9.9709561664e-25    1.0712433148e-11    1.8111389774e-26   -1.7647542477e-12   -2.6799343203e-28   -2.8785314197e-15   -1.1347593148e-28    2.1042099685e-16
   4.4000000    8.2696994546e-28    2.0768232582e-15   -8.7547559130e-24   -1.3018669894e-15   -2.5153081426e-25    3.4598987530e-15    2.1470538181e-24    7.2285855832e-13   -2.9226516930e-25    9.3562616386e-12   -1.7128705794e-25   -1.9575596324e-12   -2.3780936401e-28    1.9704397914e-15   -2.5431751349e-28    2.7344138756e-16
   4.8000000   -4.8627182037e-28    1.4961479727e-16    1.6604150984e-24   -3.6862042481e-15    7.1605365311e-26    4.4791248556e-15   -4.6677034886e-24    8.8959230466e-12    7.3860639641e-25    5.2643954233e-12   -2.6571211554e-25   -1.2775593762e-12   -2.6608472372e-28    7.9335466475e-15   -2.9838111892e-28    8.7441790977e-17
   5.2000000    5.5528631886e-28    1.9457936553e-15   -9.9604304028e-25    9.7487242208e-15    1.9066299677e-25   -5.7439974852e-15   -4.3122305376e-24    7.9309188385e-12    7.5466220827e-25    2.8286954468e-12   -1.2895245566e-25    1.1798580204e-13   -2.7506522216e-28    8.3775103626e-15   -1.6768893905e-28   -2.2344683025e-16
   5.6000000    6.9214486680e-29   -8.7203068543e-15   -6.1290223459e-24    2.3914867353e-14    9.6996164701e-26   -3.5351380374e-14    1.8235013007e-24    1.4521187678e-11    1.2615246967e-25    7.4862601672e-13    1.7196824715e-25    1.2688601300e-12   -2.3755721464e-28   -1.2787074186e-15   -6.7712292439e-29   -4.9828226702e-16
   6.0000000   -1.0992705968e-27    6.4440900630e-15    6.4871258344e-24    2.2676955172e-14   -2.1376161646e-25   -4.1609018291e-14    6.1915030549e-24    2.5665372568e-11   -4.5771944364e-25   -4.1007879976e-12    3.7140880150e-25    1.5011398819e-12   -6.4605479481e-29   -1.8761904987e-14    2.1053158950e-29   -6.8450231076e-16
   6.4000000    6.5202412567e-28    4.5440457252e-15    3.0226000044e-24   -2.8475778977e-14   -3.5261715547e-25    1.4124020286e-14    5.1336574911e-24    2.4101220135e-11   -8.2823381989e-25   -1.0827672459e-11    3.4192837178e-25    1.0922833034e-12    3.2239100697e-28   -3.3182708774e-14   -2.8066774339e-29   -5.5362872317e-16
   6.8000000   -9.9668466469e-28    1.4023281283e-14   -6.4116936247e-24   -8.5831055390e-14   -2.5997745642e-25    1.2185971744e-13    4.3640674860e-25    4.1335930564e-12   -9.2552521192e-25   -1.4739480406e-11    1.7449732801e-25    6.9601386604e-13    6.9653087649e-28   -3.3623820687e-14   -2.8582423823e-29   -3.6412458871e-17
   7.2000000    2.3705131956e-28    1.6301082205e-14    7.3889444721e-25   -4.9251983936e-14    4.4083149479e-26    1.9581846256e-13   -4.0494499481e-24   -2.0342419868e-11   -5.3806134973e-25   -1.2013524966e-11    6.9026290121e-26    5.0508936656e-13    8.9381823422e-28   -1.7156234083e-14   -7.5817139416e-29    1.1904832313e-16
   7.6000000   -1.5008244477e-27    2.1793070289e-15    6.0631852458e-24    1.7647591219e-14    4.4963352042e-25    1.3509213320e-13   -5.5194049740e-24   -3.1647082497e-11    2.8999214149e-25   -3.1244070218e-12    6.6307774260e-26    2.8772456329e-13    7.4917214904e-28    9.3485348476e-15   -9.7730832546e-30    6.8725377866e-17
   8.0000000    1.4031468673e-28    1.6158198395e-14   -1.2407194290e-25   -2.2029405940e-14    6.2848825918e-25   -1.1759586868e-13   -3.8958831891e-24   -2.4761598592e-11    1.1320185102e-24    7.4861584517e-12    1.1824652954e-25   -9.4857543230e-14    1.9385667451e-28    3.2663816390e-14   -6.1864591920e-29    3.5531418391e-16
   8.4000000   -3.3855567792e-28    1.2787583848e-14   -4.6396369942e-24   -8.5612623463e-14    3.9143794792e-25   -4.2959764656e-13   -7.3879401060e-25   -7.7633719219e-12    1.5035358506e-24    1.4378431325e-11    1.4549723643e-25   -4.8877348385e-13   -6.8229636171e-28    4.2196617272e-14   -6.4869826411e-29    2.1335207677e-16
   8.8000000    9.1943411221e-28    1.4321342832e-14   -2.1425376984e-24   -1.0349791785e-13   -1.2677663912e-25   -5.2539328173e-13    2.0989081486e-24    8.1055361243e-12    1.2003547257e-24    1.4354574817e-11    1.1031401874e-25   -6.2879700842e-13   -1.6348856754e-27    3.4567609469e-14   -7.6627369229e-29    2.8968540556e-16
   9.2000000   -1.6627217124e-27    1.4681857602e-14    1.8058595417e-25   -6.6982905303e-14   -5.4689909656e-25   -1.4441624520e-13    3.3370631621e-24    1.5205242741e-11    1.4189895085e-25    8.0855901489e-12    1.3241700696e-26   -3.1479800541e-13   -2.3090588424e-27    1.5065135030e-14   -6.5466926018e-29    1.5681999760e-17
   9.6000000    3.3545802139e-28    6.6335149662e-15    3.0917533256e-24   -1.0101046678e-13   -5.7092737798e-25    6.4481650694e-13    2.9285903323e-24    1.0682206026e-11   -1.3383351069e-24   -5.4731637475e-13   -4.9589201213e-26    4.2974120062e-13   -2.4831723938e-27   -9.4998010350e-15   -7.2464091467e-29   -4.5986558922e-16
