#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            60.000000           60.000000          100.000000          100.000000          120.000000          120.000000          140.000000          140.000000          160.000000          160.000000          180.000000          180.000000          200.000000          200.000000          220.000000          220.000000
   0.0000000   -5.1375980168e-13   -1.6790161668e-29   -1.1991816124e-11    1.9366202008e-26   -2.5960277242e-13    7.6536991350e-29    1.0266201841e-09    6.8983390930e-24    1.6748642943e-11    3.1210887735e-25    7.7925184096e-11    4.2707531632e-28   -9.6649585026e-14    2.8170763710e-29   -5.1531081150e-14    5.7740738289e-29
   0.4000000   -4.8326469322e-13   -9.0977048212e-29   -8.1046759932e-12    8.0190003228e-26    1.6642886633e-13   -1.1960142920e-26    1.0460091666e-09    3.0293213594e-24    9.7317340437e-11    1.9176482891e-25    6.2903561136e-11    2.2452054659e-26   -9.6850405002e-14    2.7018430603e-29   -5.0386545953e-14    5.4581535628e-29
   0.8000000   -5.1619280837e-13    5.8420980005e-29   -2.5147263960e-10    7.6683836536e-25   -1.0793082712e-11    3.1381844025e-26    6.0816913055e-10   -3.5619295868e-24    1.1086820969e-10    7.9012708987e-26    1.5167910881e-12    1.0975048101e-26   -9.7248369017e-14    1.3750261903e-29   -5.0623030190e-14    4.3387225032e-30
   1.2000000   -4.8059147027e-13   -2.6915866869e-28    8.3495378001e-11   -2.8013092682e-24    1.4393278779e-11   -1.9345223143e-26   -3.5975857860e-12   -4.8489282019e-24    3.7358662014e-11    3.4442433035e-25   -4.9856829342e-11   -3.2224419776e-27   -9.7788178061e-14   -9.1099791905e-30   -5.3922879202e-14   -2.1201544362e-29
   1.6000000   -5.1340243115e-13   -1.9576267316e-28    3.0003033901e-10    1.3689612703e-24   -1.2199218842e-12   -9.1309870870e-26   -6.5813391450e-10   -7.5497939684e-25   -8.3600402167e-11    5.0545262218e-25   -9.5765160250e-11   -1.1166031789e-26   -9.7734667015e-14   -1.5792524232e-29   -5.9147014589e-14   -4.2147687912e-29
   2.0000000   -4.8220850457e-13   -1.2075709979e-28   -4.6439291107e-10    2.6857940717e-24   -2.0244239626e-11   -1.1396301209e-25   -8.8463729953e-10    4.1587160383e-24   -1.6253357871e-10    1.1893940697e-26   -1.2033802510e-10   -9.7180401302e-27   -9.7008549025e-14    5.1884212988e-30   -6.3318441416e-14   -6.0716495524e-30
   2.4000000   -4.8810818010e-13   -3.5544783545e-28   -1.5198902606e-10   -2.6934723649e-24    1.2454750821e-11   -9.8466081981e-26   -5.5976527155e-10    4.6005696272e-24   -1.7200521981e-10   -8.0501281547e-25   -1.0997292706e-10   -4.2300084475e-27   -9.7306926016e-14   -1.3180145350e-30   -6.4817486107e-14    3.3247501362e-29
   2.8000000   -4.7380457432e-13   -6.1510343624e-29    4.2618952732e-10    1.0718539829e-25   -4.5865514631e-12    8.8721963667e-26   -6.3244933538e-11    7.4078556717e-25   -1.4492190566e-10   -9.3620081985e-25   -8.1620374896e-11    1.6684198406e-27   -9.7138501488e-14    2.7976770041e-30   -6.2480893343e-14    5.3302349499e-29
   3.2000000   -4.8104354006e-13   -1.2679369249e-29    6.1938831843e-11    5.6168817202e-25   -1.1954792754e-11    2.9321288449e-25    1.8038269868e-10   -2.6412784450e-24   -1.0616585347e-10   -1.4596694021e-25   -6.4505720710e-11    2.8368616953e-27   -9.6398546033e-14    1.8172385640e-30   -5.6338983458e-14    5.7963259222e-29
   3.6000000   -4.7148401251e-13   -6.8041873764e-29   -1.5852876309e-10   -4.0156703659e-25    9.0126220179e-12    2.0674486256e-25    1.1149275123e-10   -2.4580246213e-24   -5.9595741055e-11    7.1289427953e-25   -6.2562812330e-11    1.0914339496e-27   -9.4617149299e-14    1.3995960496e-29   -5.0775063060e-14    4.3777527424e-29
   4.0000000   -4.4401708716e-13   -3.2728456022e-30    2.8069729495e-12    3.7310532364e-25    9.2012267541e-12   -8.5404763210e-26   -4.8294472419e-11   -1.0554260366e-25   -1.2741230023e-11    7.6030249338e-25   -6.4661810192e-11   -5.4568742432e-28   -9.0843076407e-14    2.1014111255e-29   -4.8307866012e-14    1.4466641972e-29
   4.4000000   -4.7306734903e-13    4.8597825928e-28    1.0571595543e-10    3.8750648236e-25   -1.7786147664e-12   -2.3312741384e-25   -1.4267464066e-10    1.3763997853e-24    1.0046504054e-11    1.4409261121e-25   -6.8287718181e-11   -1.0072927905e-27   -8.9063192926e-14    4.7491363493e-30   -5.0488895839e-14    2.3127878634e-30
   4.8000000   -4.4217585291e-13   -8.7300512383e-28    4.3788407118e-11   -2.1447317573e-25   -3.3680146637e-12   -1.0386219649e-25   -1.9839268103e-10    1.1983574521e-24   -1.3029445962e-11   -3.4068995856e-25   -7.5853673223e-11   -5.7225707785e-27   -9.3654195802e-14    7.8780144340e-30   -5.5851935047e-14   -1.1096938998e-29
   5.2000000   -4.5958051264e-13    1.4062641121e-27   -1.1148023669e-10   -4.1877198229e-25   -3.9797757818e-12    9.1400217617e-26   -2.3464086000e-10    6.5995340842e-25   -6.4251286975e-11   -2.8530283100e-25   -8.3439983470e-11   -9.8520866850e-27   -1.0403960382e-13    1.0490811474e-30   -5.9264956400e-14    7.0209954255e-30
