#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            60.000000           60.000000          100.000000          100.000000          120.000000          120.000000          140.000000          140.000000          160.000000          160.000000
   0.0000000    8.6109934598e-12    4.4315764883e-16   -5.3494059777e-14    2.0512676929e-18    1.5897502291e-14    8.6155289746e-16   -2.1012223094e-09   -2.3039185059e-10    1.7099635377e-15   -3.3064669535e-14
   0.2500000    8.4020733121e-12    1.1795608388e-17   -5.6246222417e-14    3.6684092313e-18   -3.7917781123e-15    7.4731829662e-16   -1.4915389120e-09   -1.9733178117e-10    1.3517532644e-11   -6.4633933397e-11
   0.5000000    8.2375264308e-12    2.6841252797e-16   -4.4478092087e-14    5.8474648882e-15   -3.9799133932e-14   -1.6220010598e-15   -4.2308748928e-11    2.7249125591e-11    3.0900457291e-13   -4.1807692579e-11
   0.7500000    8.1204575708e-12    4.6669831353e-16   -3.6567218373e-14   -1.8672031776e-15   -1.7350878679e-14   -2.9948114743e-15    8.6567468425e-10    9.0470433002e-11   -1.9532453454e-11   -1.6043606601e-11
   1.0000000    7.9777363590e-12   -1.5226817743e-15   -2.9894263849e-14    1.8650401056e-15   -5.3729864466e-15    2.4819489963e-16    9.9635096189e-10   -1.2397580799e-11   -1.9607816280e-11    2.9240681418e-11
   1.2500000    7.9266548144e-12   -2.5903314682e-15   -5.3851170783e-14   -1.2835403574e-15   -1.3582210847e-14    3.4548913506e-15    3.9363377312e-10   -1.3064256293e-10    2.1855166682e-11    1.1898813621e-10
   1.5000000    7.9614919325e-12    5.8020311094e-16   -7.5581786152e-14   -1.7670687509e-15   -1.6435694751e-14   -6.2447161293e-15   -3.1232156312e-10   -6.6041077991e-11    8.0981488779e-11    2.0647242913e-10
   1.7500000    7.9445478610e-12    2.9421257800e-15   -6.0427907561e-14   -4.2160949973e-15   -2.2695711414e-14   -2.6825952766e-15   -4.7699263711e-10    1.7692219466e-10    9.7683868265e-11    1.8738109047e-10
   2.0000000    7.9836864808e-12    8.9592880096e-16   -3.4617749131e-14    4.7799639939e-15   -6.5760188104e-14    2.8986579500e-14   -1.0038983021e-10    3.2357812440e-10    4.5612508558e-11    4.5950311332e-11
   2.2500000    8.3406542495e-12    4.6712094196e-18   -4.4903528039e-14    3.3283802549e-15    3.3070656811e-14    6.4259907806e-14    2.3462310774e-10    1.2999790927e-10   -2.8899934488e-11   -9.5439483195e-11
   2.5000000    9.0917066191e-12   -5.9842825611e-15   -5.8570722441e-14   -3.2528204184e-15    4.0577525354e-13   -1.0542508879e-13    1.0413303657e-10   -2.6368594256e-10   -5.8872962727e-11   -1.3733961733e-10
   2.7500000    9.5826880226e-12    4.2602480508e-16   -5.5772686887e-14    2.3584729227e-15    4.2602744086e-15   -3.2279212148e-13   -2.8442028686e-10   -4.5414852503e-10   -3.1224157219e-11   -1.2987172992e-10
   3.0000000    9.0456336272e-12    9.9402623334e-16   -5.5171222559e-14   -4.4327592474e-16   -1.5279488000e-12   -1.7243182053e-14   -4.3049941467e-10   -2.6819470267e-10    1.0372695997e-11   -1.5914831962e-10
   3.2500000    7.1841328904e-12    1.2021511245e-15   -5.5165645198e-14   -7.8941438349e-15   -1.3323316223e-12    6.6088857743e-13   -1.6328895463e-10    3.8050118762e-11    2.1835339774e-11   -1.9076107914e-10
   3.5000000    4.0303616652e-12    3.9324733112e-15   -5.5863327424e-14    6.8816782870e-15    1.7593674454e-12    4.9554445189e-13    2.2973523116e-10    1.3244940756e-10   -4.5712980612e-12   -1.3365884384e-10
   3.7500000    4.9564790861e-12    2.2158527657e-16   -5.0230789271e-14    1.4655594696e-14    3.5899582133e-12   -7.3942770568e-13    3.9916304302e-10    4.4044272456e-13   -4.8636062018e-11   -5.5004387870e-12
   4.0000000    1.9780643632e-11   -5.2117263222e-15   -3.6641480827e-14   -1.0442297656e-14    1.1888093783e-12   -1.3696039358e-12    2.7975970856e-10   -1.2142491274e-10   -8.3019616891e-11    7.7576349161e-11
   4.2500000    4.4621942293e-11   -3.7064069814e-15   -4.2891551485e-14   -9.2195219110e-15   -2.2690490478e-12   -2.4686388957e-13    4.8621360639e-11   -8.1804725690e-11   -8.6753458570e-11    5.7716898447e-11
   4.5000000    5.8965441889e-11    7.7926505882e-15   -6.5746487121e-14    1.5297751667e-14   -1.2631459210e-12    1.0820669837e-12   -1.0741143816e-10    5.5303930049e-11   -5.5498008721e-11   -6.0855339382e-12
   4.7500000    4.3800172855e-11    6.7061333307e-15   -5.0335430397e-14    1.3371622488e-15    6.6259925656e-12    7.7506526008e-13   -1.1610308523e-10    1.5574327410e-10   -5.2728634723e-12   -3.2121687183e-11
   5.0000000   -1.1141572598e-11   -4.3027574161e-15   -3.8142720112e-14   -1.7915944411e-14    1.5790853119e-11   -3.5192753953e-13   -5.6851590623e-12    1.5664119767e-10    3.8122602338e-11   -9.8954227985e-13
   5.2500000   -8.1597494336e-11   -1.0275793363e-14   -4.1590837523e-14    1.6634952646e-15    1.5059266033e-11   -9.2750467595e-14    1.3651301107e-10    6.9923430525e-11    5.6544618884e-11    5.5955558147e-11
   5.5000000   -8.5752741269e-11   -1.8299465243e-15   -6.0516456012e-14    6.5923165366e-15    2.8295660891e-12    2.4644170182e-12    2.1027763844e-10   -5.1395596827e-11    4.8683940051e-11    9.7524117169e-11
   5.7500000    4.0995381076e-11    8.4233188369e-15   -6.5117240209e-14   -4.3076834034e-16   -6.9988577110e-12    6.6776950847e-12    1.6731798290e-10   -1.2948149327e-10    2.6688413956e-11    9.1756569528e-11
   6.0000000    2.5089038844e-10    4.8526562658e-15   -3.9730579300e-14   -1.0895641848e-14   -7.9346833473e-13    1.1977053694e-11    3.8339714673e-11   -1.1242202443e-10    7.0094105003e-12    3.7226245768e-11
