#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            60.000000           60.000000          100.000000          100.000000          120.000000          120.000000          140.000000          140.000000          160.000000          160.000000
   0.0000000    3.6566492913e-15    1.0770436185e-15    1.5591830650e-16   -1.1493380424e-15   -2.2797824334e-15   -6.7676305761e-17   -2.1012262081e-09   -2.3039734169e-10    1.1288355091e-14   -2.9159208031e-14
   0.2500000    1.1153863290e-15    1.5189193201e-15   -1.5868049415e-15    3.5375644079e-16   -3.2560134371e-15    1.4555309393e-16   -1.3568801531e-09   -1.8622217796e-10    1.2609260702e-11   -6.1681826114e-11
   0.5000000   -1.6933881863e-15    4.2840264841e-16   -1.2094342518e-15    1.7743119718e-15    2.7799921062e-15   -1.4738582766e-15    2.3241119676e-10    6.9484682019e-11   -7.6165082068e-12   -3.9489296668e-11
   0.7500000   -2.3471387665e-15    3.4985555067e-16    1.5045053422e-15   -3.6057262862e-15    2.7708649255e-15    2.4604113181e-15    9.7616048794e-10    9.4051898938e-11   -2.8277913272e-11   -1.4722266213e-11
   1.0000000    2.7725824443e-15    2.6073634806e-15   -3.5724380029e-15    3.9510401071e-15   -4.4634202416e-15   -1.8619397411e-15    7.5724555895e-10   -4.6144649536e-11   -1.0600962428e-11    4.0362628175e-11
   1.2500000    6.1069435405e-15   -5.2856520105e-16   -8.2486366720e-15    3.7077683890e-15    6.1259552757e-15   -2.1469709149e-15    3.1705048103e-11   -1.3492223381e-10    4.5507877928e-11    1.3146552166e-10
   1.5000000   -1.1356433655e-15   -4.1697273689e-15   -7.0572867583e-15   -9.9696808077e-15    4.1126632331e-15    7.0335202478e-16   -4.4512157348e-10   -1.9681239315e-11    8.9353414906e-11    1.9391777480e-10
   1.7500000    2.4621819015e-17    1.9676761717e-15   -3.2565006450e-15    2.0098916747e-15   -2.2986143354e-14   -2.5963595704e-15   -3.3962369806e-10    2.0826473290e-10    7.7007298362e-11    1.5249207576e-10
   2.0000000    6.6084773007e-15    1.9514249088e-16    8.1357903375e-15    4.7728684744e-15   -4.2217358952e-14    2.7169352742e-14    5.7921690356e-11    2.9039716356e-10    2.0614922221e-11    2.5086912017e-11
   2.2500000   -1.4617973317e-15   -1.7943086239e-15    9.3856478057e-16   -2.1762864622e-16    6.5806948830e-14    5.9711447824e-14    2.5436191390e-10    8.6818209105e-11   -2.9872207735e-11   -8.6175477112e-11
   2.5000000   -4.1985653713e-15    1.2090734701e-15   -1.1582665421e-14   -5.0738145421e-15    2.9007876503e-13   -8.1660662416e-14    7.3937406022e-11   -2.3799324459e-10   -4.0088867389e-11   -1.1977735011e-10
   2.7500000    2.0112456905e-15   -2.6806313941e-15   -3.8604844821e-16    1.1198265297e-16   -4.9382335084e-14   -3.1146189778e-13   -2.4458145528e-10   -3.7955973895e-10   -1.6757484595e-11   -1.1807849386e-10
   3.0000000    5.0735960123e-15   -8.5582313917e-15    9.9051312904e-15    1.4502894803e-15   -1.1679314656e-12   -1.3700597074e-13   -3.6253267181e-10   -2.3133755897e-10    8.9965196726e-12   -1.3980667975e-10
