#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            60.000000           60.000000          100.000000          100.000000          120.000000          120.000000          140.000000          140.000000          160.000000          160.000000
   0.0000000   -2.2264977017e-04    7.7647922156e-17   -2.3083473784e-05   -2.7345448718e-17   -9.7877821615e-06   -9.6281511575e-17   -4.5994437844e-06    2.9795158344e-10   -2.3205801663e-06    2.7045288410e-15
   0.2500000   -2.2232581639e-04    2.0317917993e-17   -2.3045680403e-05    3.5700596124e-16   -9.7707198271e-06    8.2199144971e-16   -4.5904716824e-06    2.2852616193e-10   -2.3159028915e-06   -1.0005161423e-11
   0.5000000   -2.2200170053e-04   -2.9232349681e-16   -2.3007895700e-05    1.0745670655e-16   -9.7536646499e-06    2.6497079807e-16   -4.5809982146e-06   -1.7433241799e-11   -2.3112821274e-06   -3.1131451474e-12
   0.7500000   -2.2167742476e-04   -1.0852391514e-15   -2.2970120018e-05   -9.1893646370e-16   -9.7366167352e-06   -1.0224770676e-16   -4.5718733262e-06   -8.9859490591e-11   -2.3066713020e-06    3.2539381764e-12
   1.0000000   -2.2135299102e-04   -1.1228350046e-15   -2.2932353660e-05    1.9503588810e-15   -9.7195761667e-06   -1.4777624281e-15   -4.5632642507e-06   -3.6899150120e-11   -2.3020670494e-06   -1.6805248231e-12
   1.2500000   -2.2102840063e-04   -8.1732608759e-16   -2.2894596838e-05    2.9954114180e-17   -9.7025430647e-06   -2.3906440100e-15   -4.5551052669e-06    3.1084012304e-11   -2.2974519435e-06   -1.7126324843e-11
   1.5000000   -2.2070365459e-04   -4.3612054111e-16   -2.2856849869e-05   -2.3357190686e-15   -9.6855174852e-06    2.5368089853e-16   -4.5469515189e-06    4.1276927277e-11   -2.2928065204e-06   -2.6065902319e-11
   1.7500000   -2.2037875374e-04   -1.0827375371e-16   -2.2819113025e-05   -1.0886462198e-15   -9.6684995758e-06    6.4438545438e-16   -4.5384106255e-06    1.1402606711e-11   -2.2881468843e-06   -1.5016403972e-11
   2.0000000   -2.2005369846e-04   -1.3049963279e-17   -2.2781386477e-05    2.0005419449e-16   -9.6514894734e-06   -7.9940086314e-15   -4.5295379779e-06   -5.3340424004e-12   -2.2835179806e-06    5.9618293296e-12
   2.2500000   -2.1972848857e-04   -1.9943682437e-15   -2.2743670379e-05   -9.1261339312e-15   -9.6344871990e-06    5.7835766162e-17   -4.5207413290e-06    9.8947529477e-12   -2.2789294749e-06    1.4643258166e-11
   2.5000000   -2.1940312376e-04   -2.4174043044e-16   -2.2705964977e-05   -6.1603940078e-15   -9.6174927555e-06    2.0914048167e-14   -4.5123128611e-06    2.9253296715e-11   -2.2743212836e-06    6.7081089640e-12
   2.7500000   -2.1907760399e-04    7.3042361022e-16   -2.2668270447e-05    8.3367850962e-16   -9.6005062649e-06   -3.0639409886e-15   -4.5041365512e-06    2.2340216455e-11   -2.2696284349e-06    1.0373451489e-12
   3.0000000   -2.1875192903e-04   -1.8961583808e-16   -2.2630586934e-05    7.1379822597e-15   -9.5835278680e-06   -7.8563371913e-14   -4.4958648693e-06   -4.8549075207e-12   -2.2648796733e-06    1.1812575761e-11
   3.2500000   -2.1842609832e-04   -2.3017985788e-15   -2.2592914613e-05    6.1957010418e-15   -9.5665576303e-06   -9.0700983981e-14   -4.4872981563e-06   -1.9730717612e-11   -2.2601982046e-06    2.7861373530e-11
   3.5000000   -2.1810011142e-04   -1.2201055250e-15   -2.2555253554e-05   -4.5256062605e-15   -9.5495956072e-06    1.0128721902e-13   -4.4785311749e-06   -2.3794194845e-12   -2.2556821830e-06    2.7800660634e-11
   3.7500000   -2.1777396330e-04    2.5285492886e-15   -2.2517603852e-05   -8.4862354871e-15   -9.5326418858e-06    3.9571642868e-13   -4.4697918210e-06    3.2375910093e-11   -2.2512931676e-06    7.8019410391e-12
   4.0000000   -2.1744764123e-04   -6.8283546569e-16   -2.2479965643e-05   -3.6221098810e-15   -9.5156963686e-06    3.4862328892e-13   -4.4612293478e-06    5.1106772127e-11   -2.2468803248e-06   -1.4676516404e-11
   4.2500000   -2.1712113804e-04   -1.3223160457e-15   -2.2442339034e-05    7.0240051170e-15   -9.4987588354e-06   -3.6563355974e-13   -4.4528454498e-06    3.6070740715e-11   -2.2423168671e-06   -2.1225524551e-11
   4.5000000   -2.1679446671e-04    2.7561520985e-15   -2.2404724078e-05    7.0861589148e-15   -9.4818289580e-06   -1.1562711879e-12   -4.4445448475e-06    1.0825163924e-12   -2.2376057149e-06   -9.5853445452e-12
   4.7500000   -2.1646765907e-04   -2.6480432158e-15   -2.2367120803e-05    1.8512629371e-15   -9.4649063969e-06   -8.9851961728e-13   -4.4362162905e-06   -2.5969342634e-11   -2.2328588563e-06    7.7112879349e-12
   5.0000000   -2.1614074591e-04   -4.7132357920e-15   -2.2329529289e-05   -8.3224589681e-15   -9.4479916807e-06    6.8010187895e-13   -4.4277982299e-06   -3.0681973292e-11   -2.2281929902e-06    1.5904727836e-11
