#       time             L^2_Ham             L^2_Mom
  85.0000000                -nan                -nan
  85.5000000                -nan                -nan
  86.0000000                -nan                -nan
  86.5000000                -nan                -nan
  87.0000000                -nan                -nan
  87.5000000                -nan                -nan
  88.0000000                -nan                -nan
  88.5000000                -nan                -nan
  89.0000000                -nan                -nan
  89.5000000                -nan                -nan
  90.0000000                -nan                -nan
  90.5000000                -nan                -nan
  91.0000000                -nan                -nan
  91.5000000                -nan                -nan
  92.0000000                -nan                -nan
  92.5000000                -nan                -nan
  93.0000000                -nan                -nan
  93.5000000                -nan                -nan
  94.0000000                -nan                -nan
  94.5000000                -nan                -nan
  95.0000000                -nan                -nan
  95.5000000                -nan                -nan
  96.0000000                -nan                -nan
  96.5000000                -nan                -nan
  97.0000000                -nan                -nan
  97.5000000                -nan                -nan
  98.0000000                -nan                -nan
  98.5000000                -nan                -nan
  99.0000000                -nan                -nan
  99.5000000                -nan                -nan
 100.0000000                -nan                -nan
 100.5000000    1.8642782042e+02    3.3385875692e+02
 101.0000000    1.7661506245e+02    3.2119638294e+02
 101.5000000    2.0960174947e+02    3.5832185897e+02
 102.0000000    2.2010047882e+02    3.5851419900e+02
 102.5000000    2.1610988452e+02    3.7809252735e+02
 103.0000000    2.0725698140e+02    3.5979578836e+02
 103.5000000    1.9890264162e+02    3.7722681651e+02
 104.0000000    2.0585987341e+02    3.7540743616e+02
 104.5000000    3.0056073334e+02    3.9783043420e+02
 105.0000000    2.3229829256e+02    4.3269797495e+02
 105.5000000    2.7167831484e+02    4.6346268593e+02
 106.0000000    2.4304072099e+02    4.3876096056e+02
 106.5000000                -nan                -nan
 107.0000000    1.9432329302e+02    5.9449928527e+02
 107.5000000    1.9364263997e+02    4.8793018096e+02
 108.0000000    1.7061093131e+02    4.8323891770e+02
 108.5000000    1.6389204764e+02    4.9019973145e+02
 109.0000000    2.9356690874e+02    4.8288205868e+02
 109.5000000    3.3229411874e+02    5.0405434093e+02
 110.0000000    3.0049362999e+02    5.0923933687e+02
 110.5000000    3.0549106091e+02    5.1214925843e+02
 111.0000000    3.2369830188e+02    4.9225628229e+02
 111.5000000    3.0056643691e+02    5.1726996161e+02
 112.0000000    2.9453237200e+02    4.9292237620e+02
 112.5000000    3.1848516726e+02    5.3858428518e+02
 113.0000000    3.1739921265e+02    9.2755814379e+02
 113.5000000    3.1154696030e+02    5.8799682822e+02
 114.0000000    3.1227551886e+02    5.0910453235e+02
 114.5000000                -nan                -nan
 115.0000000                -nan                -nan
 115.5000000    3.0756792214e+02    5.0194366262e+02
 116.0000000    3.4744639606e+02    5.0693125895e+02
 116.5000000                -nan                -nan
 117.0000000                -nan                -nan
 117.5000000                -nan                -nan
 118.0000000                -nan                -nan
 118.5000000    3.2691499859e+02    5.9252689485e+02
 119.0000000    3.1933429400e+02    6.1848319022e+02
 119.5000000    3.4415703687e+02    5.9322327931e+02
 120.0000000    3.4238798087e+02    6.0087116288e+02
 120.5000000    3.8856819854e+02                -nan
 121.0000000    3.9165286647e+02    1.1254224516e+03
 121.5000000    3.9497920775e+02                -nan
 122.0000000    3.9445639124e+02                -nan
 122.5000000    3.9841264899e+02                -nan
 123.0000000    4.2508083792e+02                -nan
 123.5000000    4.7991984801e+02                -nan
 124.0000000    3.8110333499e+02                -nan
 124.5000000    4.2246744074e+02                -nan
 125.0000000    3.6920070943e+02                -nan
 125.5000000    1.0535418797e+02                -nan
 126.0000000    1.6020753442e+02    1.4987167464e+02
 126.5000000    1.1146039497e+02    1.0924513537e+03
 127.0000000    1.8607532754e+02    1.1039737382e+03
 127.5000000    1.7442516370e+02    1.5767881687e+03
 128.0000000    2.0520978338e+02    1.5702693127e+03
 128.5000000    2.0722568462e+02    1.1450204149e+03
 129.0000000    3.4834057408e+02    2.1854672258e+02
 129.5000000    2.0687077537e+02    3.5762420793e+02
 130.0000000    2.4642091951e+02    2.8183211306e+02
 130.5000000    2.6398231605e+02    2.6899107534e+02
 131.0000000    2.4800877221e+02    2.9740626636e+02
 131.5000000    2.4799756626e+02    2.8914924698e+02
 132.0000000    2.6150490677e+02                -nan
 132.5000000    2.9194574462e+02                -nan
 133.0000000    2.4917370548e+02                -nan
 133.5000000    4.6611821482e+02                -nan
