#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            60.000000           60.000000          100.000000          100.000000          120.000000          120.000000          140.000000          140.000000          160.000000          160.000000
   0.0000000    1.1400997572e-04   -2.6394853989e-20    1.5198946092e-06    3.4672512210e-22    3.0703533156e-07   -2.0599356763e-22    7.6534220377e-08   -1.3740658831e-22    2.2215926807e-08    2.9415180795e-23
   0.2500000    1.1357109367e-04   -2.2727258555e-20    1.5137449474e-06    7.3628104137e-23    3.0576149166e-07   -2.0363450774e-22    7.6420904518e-08   -1.5746689706e-22    2.2109844613e-08    4.7200121538e-24
   0.5000000    1.1313328484e-04   -2.1670481380e-20    1.5076147684e-06    2.9850062204e-22    3.0449191418e-07   -4.0855903706e-22    7.5895639616e-08   -1.8003865775e-22    2.1999778329e-08    3.2135714688e-24
   0.7500000    1.1269655606e-04   -2.4694040609e-20    1.5015041345e-06    4.7062515416e-22    3.0322664880e-07   -1.4661659704e-22    7.5364285189e-08   -1.6103614630e-22    2.1890113592e-08    4.3919379545e-23
   1.0000000    1.1226091341e-04   -2.1836922190e-20    1.4954129117e-06    4.9846857121e-22    3.0196566206e-07   -2.3839183302e-22    7.4880630314e-08   -1.4376598276e-22    2.1832875990e-08   -1.2357294430e-24
   1.2500000    1.1182636252e-04   -2.5531986406e-20    1.4893410782e-06    4.2403652294e-22    3.0070890481e-07   -2.3566978879e-22    7.4525571288e-08   -6.2924025449e-23    2.1834483024e-08    1.9947145029e-23
   1.5000000    1.1139290853e-04   -2.5630228554e-20    1.4832886636e-06    5.8740522808e-22    2.9945642560e-07   -2.7870196653e-22    7.4567304790e-08   -1.0042448181e-22    2.1819839613e-08    5.6210720470e-24
   1.7500000    1.1096055590e-04   -2.2910931840e-20    1.4772555875e-06    2.9037990439e-22    2.9820825914e-07   -2.0700221552e-22    7.5045523451e-08   -1.1389072711e-22    2.1711637270e-08   -1.0422675490e-23
   2.0000000    1.1052930871e-04   -2.6521044999e-20    1.4712418263e-06    4.6637588171e-22    2.9696426764e-07   -3.0968829455e-22    7.5396408494e-08   -1.5609603268e-22    2.1520879931e-08    1.7364645809e-23
   2.2500000    1.1009917064e-04   -2.6244158775e-20    1.4652473154e-06    3.0822318145e-23    2.9572421081e-07   -4.2575809046e-22    7.4839623236e-08   -1.7647072348e-22    2.1324750101e-08    5.3277193159e-24
